condensate_id	condensate_name	member_count	methyl_protein_count	methyl_fraction_within_condensate	expected_methyl_count_at_global_rate	odds_ratio	log2_odds_ratio	p_value	q_value
3190BB68	inclusion body-associated granule (IBAG)	6	6	1.0	2.8876199177706714	14.05162978824649	3.8126655670458605	0.012380175234205284	0.035371929240586526
373365D7	p62-dependent P-bodies (pd-PBs)	6	6	1.0	2.8876199177706714	14.05162978824649	3.8126655670458605	0.012380175234205284	0.035371929240586526
BEB5E62D	Anisosome	6	6	1.0	2.8876199177706714	14.05162978824649	3.8126655670458605	0.012380175234205284	0.035371929240586526
F85A2E29	IMP1 RNP granule	38	35	0.9210526315789473	18.288259479214254	11.102085128381871	3.4727587554147097	1.6968124473298946e-08	1.6968124473298947e-07
A40D6D0A	DHX9 Stress Granules	12	11	0.9166666666666666	5.775239835541343	8.302965259559583	3.053626661913801	0.0025013338613154466	0.012727721727587252
D8E9712B	Neuronal RNP granule	16	14	0.875	7.700319780721791	6.287604490088369	2.652510470437801	0.0017109954164012992	0.011406636109341993
62EA6512	Sam68 nuclear body	15	13	0.8666666666666667	7.219049794426679	5.8511816662688	2.5487280113474764	0.0031384158923914722	0.013948515077295434
4F6C34C9	senescence-associated nuclear proteasome foci	5	4	0.8	2.4063499314755594	3.238174471119563	1.6951807193767008	0.2023006529792285	0.40460130595845706
08386919	Dense Fibrillar Component	8	6	0.75	3.8501598903608953	2.80785153461813	1.489466655039649	0.16510977965302315	0.3475995361116277
DEE660B4	Stress granule	1194	783	0.6557788944723618	574.6363636363636	2.674526300532033	1.419283390807105	8.554704606976902e-46	3.421881842790761e-44
D6A53B8E	Nuclear pore complex	25	18	0.72	12.031749657377798	2.673255164712451	1.4185975507481337	0.025245649822193655	0.06732173285918308
232F8A39	P-body	829	558	0.6731001206272618	398.97281863864777	2.6558302832791663	1.4091629564383394	6.569350214511395e-35	1.313870042902279e-33
81D2A7B6	Nuclear stress body	11	8	0.7272727272727273	5.293969849246231	2.6240601503759398	1.3918007907084626	0.1332835109291789	0.2961855798426198
804901D1	Nuclear speckle	207	137	0.6618357487922706	99.62288716308817	2.1789929833843518	1.123661550812288	1.0188767646215648e-07	8.151014116972518e-07
1A18FFC4	Paraspeckle	71	47	0.6619718309859155	34.17016902695295	2.1147284441561145	1.08047241633705	0.0025455443455174504	0.012727721727587252
462A97B5	Leucocyte nuclear body	21	14	0.6666666666666666	10.10666971219735	2.0912506966005893	1.0643660208288632	0.1238423066009789	0.2913936625905386
7FF4107C	Beta-Catenin Destruction Complex	6	4	0.6666666666666666	2.8876199177706714	1.9420489660090325	0.9575795767240538	0.43696779249791706	0.6576775205334393
91857CE7	Nucleolus	1413	823	0.5824486907289455	680.0344906349932	1.8256035206455923	0.8683734789549636	2.4164642544163883e-20	3.2219523392218512e-19
1EF72FBA	ERES	8	5	0.625	3.8501598903608953	1.6954985561406488	0.7617095557879309	0.4932581404000795	0.6576775205334393
7C2F7184	Transcription Elongation Condensate	8	5	0.625	3.8501598903608953	1.6954985561406488	0.7617095557879309	0.4932581404000795	0.6576775205334393
BB266630	TAZ Condensate	8	5	0.625	3.8501598903608953	1.6954985561406488	0.7617095557879309	0.4932581404000795	0.6576775205334393
A0DCDA94	DNA damage foci	22	13	0.5909090909090909	10.587939698492463	1.5350353683205387	0.6182718967112897	0.39305456670086164	0.655090944501436
278829DE	Chromatoid body	5	3	0.6	2.4063499314755594	1.5097647897362794	0.5943238057670798	0.6765449496312915	0.8197776089863689
3EAB04FE	Rapsn condensate	7	4	0.5714285714285714	3.3688899040657834	1.3865666066759483	0.4715169209666632	0.7173054078630727	0.8197776089863689
B3A0EABC	Midbody Granule	7	4	0.5714285714285714	3.3688899040657834	1.3865666066759483	0.4715169209666632	0.7173054078630727	0.8197776089863689
38EC0B30	Transcriptional condensate	41	23	0.5609756097560976	19.73206943809959	1.373256922069587	0.4576015639556575	0.347395901530128	0.63162891187296
B5B9A610	PML body	542	292	0.5387453874538746	260.84833257195066	1.3001565032974536	0.378685294747046	0.004402354019249188	0.016008560069997048
FB4E32DD	Presynaptic clusters and postsynaptic densities	1365	701	0.5135531135531135	656.9335312928278	1.206546141650731	0.2708830892443345	0.004071056887856172	0.016008560069997048
