canonical_UniProtAC	condensate_id	condensate_name	condensate_type
Q9UKD2	91857CE7	Nucleolus	biomolecular
Q9NR12	91857CE7	Nucleolus	biomolecular
P09619	91857CE7	Nucleolus	biomolecular
P60709	91857CE7	Nucleolus	biomolecular
O95707	91857CE7	Nucleolus	biomolecular
P62280	91857CE7	Nucleolus	biomolecular
O60869	91857CE7	Nucleolus	biomolecular
Q08945	91857CE7	Nucleolus	biomolecular
Q92522	91857CE7	Nucleolus	biomolecular
A0A087X0T9	B5B9A610	PML body	biomolecular
Q96RU7	B5B9A610	PML body	biomolecular
O15484	B5B9A610	PML body	biomolecular
P04156	9F779CC8	Nuclear body	biomolecular
Q96EB6	B5B9A610	PML body	biomolecular
P38398	A0DCDA94	DNA damage foci	biomolecular
P54132	B5B9A610	PML body	biomolecular
O76064	B5B9A610	PML body	biomolecular
P28074	B5B9A610	PML body	biomolecular
P54198	B5B9A610	PML body	biomolecular
Q9UPN9	B5B9A610	PML body	biomolecular
Q9UNF1	B5B9A610	PML body	biomolecular
