canonical_UniProtAC	condensate_id	condensate_name	condensate_type
P46937	B15FE1AF	Hippo signalosome	biomolecular
Q13492	DEE660B4	Stress granule	biomolecular
Q08AD1	DEE660B4	Stress granule	biomolecular
P55210	DEE660B4	Stress granule	biomolecular
Q6P1N0	DEE660B4	Stress granule	biomolecular
Q9Y5K6	DEE660B4	Stress granule	biomolecular
P13569	DEE660B4	Stress granule	biomolecular
Q86X95	DEE660B4	Stress granule	biomolecular
P46108	DEE660B4	Stress granule	biomolecular
Q9NY93	DEE660B4	Stress granule	biomolecular
Q9UDY4	DEE660B4	Stress granule	biomolecular
O14640	DEE660B4	Stress granule	biomolecular
O43237	DEE660B4	Stress granule	biomolecular
Q9BUP0	DEE660B4	Stress granule	biomolecular
Q7Z2Z2	DEE660B4	Stress granule	biomolecular
P55010	DEE660B4	Stress granule	biomolecular
Q96EB1	DEE660B4	Stress granule	biomolecular
P06733	DEE660B4	Stress granule	biomolecular
Q9Y2J2	DEE660B4	Stress granule	biomolecular
P49327	DEE660B4	Stress granule	biomolecular
P04406	DEE660B4	Stress granule	biomolecular
Q5VSY0	DEE660B4	Stress granule	biomolecular
P52655	DEE660B4	Stress granule	biomolecular
Q00341	DEE660B4	Stress granule	biomolecular
Q53T59	DEE660B4	Stress granule	biomolecular
Q15652	DEE660B4	Stress granule	biomolecular
Q96AT1	DEE660B4	Stress granule	biomolecular
Q5T5P2	DEE660B4	Stress granule	biomolecular
Q03164	DEE660B4	Stress granule	biomolecular
P00338	DEE660B4	Stress granule	biomolecular
P07195	DEE660B4	Stress granule	biomolecular
P09382	DEE660B4	Stress granule	biomolecular
Q9BRT6	DEE660B4	Stress granule	biomolecular
P46821	DEE660B4	Stress granule	biomolecular
Q8IWC1	DEE660B4	Stress granule	biomolecular
P28482	DEE660B4	Stress granule	biomolecular
Q96KB5	DEE660B4	Stress granule	biomolecular
Q9NYJ8	DEE660B4	Stress granule	biomolecular
P42574	DEE660B4	Stress granule	biomolecular
P25786	4F6C34C9	senescence-associated nuclear proteasome foci	biomolecular
Q9NPE3	08386919	Dense Fibrillar Component	biomolecular
Q9NY12	08386919	Dense Fibrillar Component	biomolecular
O00567	08386919	Dense Fibrillar Component	biomolecular
O43474	1A18FFC4	Paraspeckle	biomolecular
Q8IX01	232F8A39	P-body	biomolecular
Q8N7C3	8C2F96ED	Centrosome	biomolecular
Q08379	AD8D327D	Golgi ribbon	biomolecular
P01100	1A18FFC4	Paraspeckle	biomolecular
O60832	08386919	Dense Fibrillar Component	biomolecular
Q01844	1A18FFC4	Paraspeckle	biomolecular
Q8IWZ4	8C2F96ED	Centrosome	biomolecular
Q309B1	8C2F96ED	Centrosome	biomolecular
Q495X7	8C2F96ED	Centrosome	biomolecular
