treatment	ip	unique_site_ip_treatment	unique_canonical_sites	peptide_rows_total	median_diff	mean_diff	sig_down_sites	sig_up_sites	fraction_sig_down_sites	fraction_sig_up_sites
GSK591	SDMA	461	458	3592	-0.334351856346469	-0.9075761829208231	107	29	0.23210412147505424	0.06290672451193059
GSK591	ADMA	569	566	3666	-0.281101552674542	-0.36870741434627335	95	52	0.16695957820738136	0.0913884007029877
GSK591	MMA	748	745	5090	0.101454250847752	-0.16564503296939465	74	82	0.09893048128342247	0.10962566844919786
MS023	ADMA	569	566	3666	-0.353883988764192	-0.38607355052339554	121	100	0.2126537785588752	0.1757469244288225
MS023	MMA	748	745	5090	0.003693045394042499	-0.08171568517161526	111	148	0.1483957219251337	0.19786096256684493
MS023	SDMA	461	458	3592	0.0267882515314781	0.4793092272513308	61	79	0.13232104121475055	0.17136659436008678
