category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value	ptm_group	comparison
IDR	6221	0.4844261018532939	166422	0.2644511219412977	2.613388705898678	1.3859217218128634	0.0	0.0	Arg methylation	binary_idr_vs_non_idr
non_IDR	6621	0.5155738981467061	462889	0.7355488780587023	0.38264495355891776	-1.3859217218128637	0.0	0.0	Arg methylation	binary_idr_vs_non_idr
IDR	780	0.2907193440178904	159192	0.2446048250419091	1.2662757523472679	0.3405916095246583	5.701898391439623e-08	5.701898391439623e-08	Lys acylation	binary_idr_vs_non_idr
non_IDR	1903	0.7092806559821095	491621	0.7553951749580908	0.7897174040854228	-0.34059160952465817	5.701898391439623e-08	5.701898391439623e-08	Lys acylation	binary_idr_vs_non_idr
IDR	85	0.36324786324786323	159887	0.24475172289219332	1.7647695011307334	0.8194797635013327	5.097233449116949e-05	5.097233449116949e-05	Lys methylation	binary_idr_vs_non_idr
non_IDR	149	0.6367521367521367	493375	0.7552482771078066	0.5666462387066833	-0.8194797635013327	5.097233449116949e-05	5.097233449116949e-05	Lys methylation	binary_idr_vs_non_idr
IDR	41398	0.6263313967562334	480343	0.2666239262867213	4.610429198699545	2.2049010617202898	0.0	0.0	Phosphorylation	binary_idr_vs_non_idr
non_IDR	24698	0.37366860324376666	1321232	0.7333760737132786	0.21689954598631905	-2.2049010617202898	0.0	0.0	Phosphorylation	binary_idr_vs_non_idr
IDR	187	0.29082426127527217	159785	0.24474881788090122	1.267448677079314	0.3419273292228888	0.007730091953788495	0.007730091953788496	Ubiquitin/SUMO	binary_idr_vs_non_idr
non_IDR	456	0.7091757387247278	493068	0.7552511821190988	0.7889865823240922	-0.34192732922288877	0.007730091953788496	0.007730091953788496	Ubiquitin/SUMO	binary_idr_vs_non_idr
