category	observed_count	observed_fraction	expected_count_length_conditioned	expected_fraction_length_conditioned	enrichment_ratio_vs_length_null	log2_enrichment_vs_length_null	binomial_p_value	q_value
Domain edge <=20 aa	623	0.14110985277463195	655.621708131569	0.1484986881385207	0.9502430933464112	-0.07363146070498114	0.17557666211959763	0.40120379710202125
Domain edge 21-40 aa	512	0.1159682899207248	512.3317310406223	0.11604342718926894	0.9993525073296776	-0.0009344370177031856	1.0	1.0
Domain-distal >40 aa	3280	0.7429218573046432	3247.0465608278087	0.7354578846722103	1.0101487424201858	0.014567742632735104	0.26746919806801417	0.40120379710202125
