category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
distal	4044	0.29477367155040457	45108	0.22567314715682252	1.434275059286125	0.5203217246079691	2.789741199707322e-73	6.974352999268305e-73
no_domain_annotation	3140	0.22887965595159998	38689	0.1935591999279575	1.2367674961024464	0.3065743089258405	3.9829355616059024e-23	6.638225936009837e-23
boundary	1093	0.07967052992200598	14508	0.07258282386608099	1.1065302292060508	0.1460428645414951	0.002263769820282433	0.002263769820282433
inter_domain_linker	1370	0.09986150594066623	24363	0.12188691327883451	0.7994942789640698	-0.32284038480864213	4.4529518518868965e-15	5.566189814858621e-15
in_domain	4072	0.29681463663532326	77214	0.3862979157703045	0.6706261698893468	-0.5764193122732458	7.278283112132867e-100	3.6391415560664334e-99
