category	target_count	background_count	total_arginines_in_bin	methylated_fraction_in_bin	odds_ratio	log2_odds_ratio	p_value	q_value
Domain edge <=20 aa	623	5208	5831	0.10684273709483794	1.237436840254467	0.30735489078655104	5.273258675888578e-06	7.909888013832867e-06
Domain edge 21-40 aa	512	4364	4876	0.10500410172272355	1.204704682150077	0.2686795316717667	0.00025182302313815944	0.00025182302313815944
Domain-distal >40 aa	3280	34839	38119	0.08604632860253417	0.7937913553116942	-0.3331682439591139	3.861772359459761e-10	1.1585317078379282e-09
