distance_aa	target_within_distance	target_total	background_within_distance	background_total	target_fraction_within_distance	background_fraction_within_distance	odds_ratio	log2_odds_ratio	p_value	q_value
1	79	6507	1164	83979	0.012140771476871062	0.013860608009145143	0.8794873876538613	-0.18526520610393676	0.26889274748131287	0.33404877801805705
2	142	6507	2173	83979	0.02182265252804672	0.02587551649817216	0.8425787648533907	-0.24711653814545934	0.045801180425155255	0.10104604313162191
3	211	6507	3048	83979	0.03242661748885815	0.036294787982709964	0.8917488427675916	-0.16529065639548818	0.11208735196993591	0.20287411109045964
4	264	6507	3924	83979	0.04057169202397418	0.04672596720608724	0.8641803783745007	-0.21059562066322549	0.023376350558737963	0.07792116852912655
5	322	6507	4696	83979	0.04948516981712003	0.05591874159015944	0.8801635820020969	-0.18415641544292674	0.028308719618818007	0.08088205605376574
6	364	6507	5475	83979	0.05593975718457046	0.06519487014610796	0.850653001309049	-0.23335734767874455	0.0030764422851923007	0.04101923046923068
7	416	6507	6208	83979	0.06393115106808053	0.07392324271544076	0.8564944381807407	-0.22348421697869106	0.002575854159709009	0.04101923046923068
8	469	6507	6934	83979	0.07207622560319656	0.08256826111289728	0.8638506242238878	-0.21114622963130647	0.0026522123170284488	0.04101923046923068
9	535	6507	7679	83979	0.0822191486091901	0.09143952654830374	0.8908359932892284	-0.16676824501174256	0.012124309835268254	0.07792116852912655
10	584	6507	8405	83979	0.08974950053788228	0.10008454494576025	0.8871924816076319	-0.17268095525940816	0.007157033435242811	0.0715703343524281
11	636	6507	9073	83979	0.09774089442139235	0.1080389144905274	0.8949401746514378	-0.16013685119031304	0.009352043607538028	0.07481634886030422
12	696	6507	9747	83979	0.10696173351775011	0.11606473046833136	0.9127119184690913	-0.13176852425039687	0.026742675653432798	0.08088205605376574
13	747	6507	10365	83979	0.11479944674965421	0.12342371307112493	0.9215610835305409	-0.11784830018064171	0.04145954896137172	0.09755187990910992
14	804	6507	10999	83979	0.1235592438911941	0.13097321949535004	0.9358763938491701	-0.09561009686985296	0.08905960673517449	0.17811921347034898
15	853	6507	11599	83979	0.13108959581988627	0.1381178627990331	0.9418714367869908	-0.08639794605555955	0.11665261387701428	0.20287411109045964
16	903	6507	12218	83979	0.13877362840018442	0.14548875314066612	0.9468144954649015	-0.07884630138850873	0.1437555937630393	0.23959265627173218
17	957	6507	12804	83979	0.1470723835869064	0.15246668810059658	0.9589027803735153	-0.060543541774197664	0.2514806873231695	0.324491209449251
18	997	6507	13363	83979	0.15321960965114492	0.1591231141118613	0.9565504233496865	-0.0640870744611289	0.2112684983357995	0.3104985452621552
19	1046	6507	13946	83979	0.1607499615798371	0.16606532585527334	0.9622056323388984	-0.05558285052478844	0.27559024186489706	0.33404877801805705
20	1093	6507	14508	83979	0.16797295220531736	0.17275747508305647	0.9670403407279762	-0.04835202095125659	0.3316141367628004	0.390134278544471
21	1135	6507	15035	83979	0.1744275395727678	0.1790328534514581	0.9691532707167259	-0.04520325028228139	0.3556659821936497	0.40647540822131395
22	1186	6507	15597	83979	0.1822652528046719	0.18572500267924125	0.9775155076279173	-0.0328085048966034	0.49735014792478216	0.537675835594359
23	1237	6507	16094	83979	0.190102966036576	0.1916431488824587	0.9903596137990008	-0.013975611272067753	0.7685430048177857	0.7882492357105494
24	1290	6507	16624	83979	0.198248040571692	0.19795425046737875	1.0021206772444298	0.003056251027048196	0.9485081284694561	0.9485081284694561
25	1344	6507	17106	83979	0.206546795758414	0.20369378058800414	1.017910319459245	0.02561046183534232	0.5871487209318678	0.6180512851914398
26	1393	6507	17618	83979	0.2140771476871062	0.20979054287381368	1.0262449980027566	0.03737519021335624	0.41152056700757844	0.45724507445286494
27	1450	6507	18163	83979	0.22283694482864608	0.21628026054132582	1.0392429500254874	0.055532961098906666	0.21734898168350864	0.3104985452621552
28	1489	6507	18626	83979	0.22883049024127863	0.22179354362400125	1.0413678687436465	0.05847979837878832	0.18842542776526008	0.2898852734850155
29	1524	6507	19130	83979	0.23420931304748732	0.227795043999095	1.0369869166036794	0.05239769215493615	0.23783488599668848	0.324491209449251
30	1560	6507	19604	83979	0.239741816505302	0.23343931220900463	1.035721078619751	0.05063553519579326	0.24803132534170597	0.324491209449251
31	1602	6507	20058	83979	0.24619640387275243	0.23884542564212483	1.041030043183214	0.05801170410899895	0.18452371022582775	0.2898852734850155
32	1648	6507	20484	83979	0.2532657138466267	0.2439181223877398	1.051513722223392	0.07246767732072595	0.09363495154235871	0.1783522886521118
33	1698	6507	20930	83979	0.26094974642692487	0.2492289739101442	1.0638188118952947	0.08925245399753233	0.03617665760335473	0.09330021621782737
34	1728	6507	21368	83979	0.26556016597510373	0.2544445635218328	1.0596610937798816	0.08360292846570817	0.0479968704875204	0.10104604313162191
35	1765	6507	21787	83979	0.27124635008452436	0.2594339060955715	1.062651836353623	0.08766899457173899	0.03732008648713095	0.09330021621782737
36	1804	6507	22189	83979	0.2772398954971569	0.26422081710903916	1.068341087231282	0.09537232707717161	0.02296558018779124	0.07792116852912655
37	1842	6507	22623	83979	0.2830797602581835	0.2693887757653699	1.0710508414622324	0.09902696466755251	0.01684143779479543	0.07792116852912655
38	1875	6507	23035	83979	0.28815122176118024	0.2742947641672323	1.0711209544319678	0.09912140306317437	0.01614865468298002	0.07792116852912655
39	1900	6507	23400	83979	0.2919932380513293	0.2786410888436395	1.067832359273039	0.09468517377733553	0.02179489771286667	0.07792116852912655
40	1932	6507	23812	83979	0.29691101890272015	0.2835470772455019	1.0671805872369986	0.09380432823966967	0.02168024504333268	0.07792116852912655
