category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
IDR edge 11-20 aa	1135	0.18244655200128596	9972	0.15179699511363465	1.2473457271430377	0.31886139275783454	3.7583765780223264e-10	9.395941445055816e-10
IDR edge 21-40 aa	1108	0.17810641375984568	10248	0.1559983559892226	1.1727985921227402	0.22995527671297772	6.9692258760409654e-06	1.1615376460068276e-05
IDR edge 6-10 aa	857	0.13775920270053046	8317	0.12660405218211987	1.1026714295235325	0.1410029653495255	0.012239645735439677	0.012239645735439677
Distal IDR >40 aa	1476	0.2372608905320688	17167	0.26132160199716864	0.879474772241749	-0.18528590034387943	3.1391494552472066e-05	3.9239368190590085e-05
IDR edge <=5 aa	1645	0.26442694100626907	19989	0.30427899471785425	0.822093947732917	-0.2826248224116137	3.770542167318259e-11	1.8852710836591296e-10
