category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
no_disorder_annotation	877	0.06392594212406152	644	0.00102229524331103	66.71758185681301	6.059995094904872	0.0	0.0
disordered	6221	0.45345870690283546	166422	0.26418077481724883	2.3109459841564473	1.2084835387755304	0.0	0.0
disorder_boundary	3057	0.22282965230701945	161293	0.2560389234151646	0.833202876055745	-0.2632602755949772	3.8535191834647586e-19	3.8535191834647586e-19
ordered	3564	0.25978569866608353	301596	0.4787580065242755	0.38213832614064785	-1.3878331364324914	0.0	0.0
