category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value
Distal IDR >40 aa	1476	0.2372608905320688	30429	0.1828424126617875	1.3905122152865703	0.4756164184393294	7.070123975069878e-26	1.7675309937674697e-25
IDR edge 21-40 aa	1108	0.17810641375984568	23009	0.1382569612190696	1.351139811007316	0.43417696719559373	6.7848096441464935e-18	1.1308016073577488e-17
IDR edge 11-20 aa	1135	0.18244655200128596	26479	0.15910756991263175	1.1798071964875663	0.2385511143344645	1.2575680384109054e-06	1.5719600480136316e-06
IDR edge 6-10 aa	857	0.13775920270053046	23822	0.14314213265073128	0.9568383902597113	-0.06365282039502945	0.23778765465049806	0.23778765465049806
IDR edge <=5 aa	1645	0.26442694100626907	62683	0.3766509235557799	0.5950525664384536	-0.7489109743822896	1.22321856726235e-75	6.11609283631175e-75
