distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
3	12826	0.19140807734289725	0.2137845002338999	2455	2742	0.08534851083736161	0.002566264873196498	0.08061749571183534	0.09025222204896305	0.09606268517074691	0.0030973583328277945	0.09004755964447217	0.10143848432870732	0.009900990099009901	0.009900990099009901	0.10605956650553564	2.2426645229656157	0.11772181506315298	2.2254687119551986	0.2137845002338999	0.09606268517074691	0.11772181506315298	2.2254687119551986	Arg methylation
5	12826	0.27717137065336034	0.3480430375799158	3555	4464	0.12734991423670666	0.0027545288248997557	0.12240760954311555	0.13303835958209886	0.15983938874161863	0.003917994095852226	0.15343053173241852	0.16748791517230627	0.009900990099009901	0.009900990099009901	0.14982145641665368	2.1764551025780743	0.18820364883829716	2.1774547583044725	0.3480430375799158	0.15983938874161863	0.18820364883829716	2.1774547583044725	Arg methylation
10	12826	0.42663340090441293	0.6826758147512865	5472	8756	0.2180274442538594	0.003932208950044986	0.21068337751442381	0.22529432402931546	0.3378855449867458	0.005850799603674	0.3279276469670981	0.34790269764540777	0.009900990099009901	0.009900990099009901	0.20860595665055354	1.956787607011822	0.3447902697645407	2.0204350996372624	0.6826758147512865	0.3378855449867458	0.3447902697645407	2.0204350996372624	Arg methylation
20	12826	0.5247154217994698	1.148292530796819	6730	14728	0.3183424294401996	0.0036891361398418724	0.311490332137845	0.3258264462809917	0.6325432714798066	0.008057161482480826	0.6196436924996102	0.6497388117885544	0.009900990099009901	0.009900990099009901	0.20637299235927026	1.6482735987225268	0.5157492593170124	1.8153580672993963	1.148292530796819	0.6325432714798066	0.5157492593170124	1.8153580672993963	Arg methylation
50	12826	0.6203025105254951	2.0483393107749883	7956	26272	0.4724458131919539	0.004202199733317003	0.4648253547481678	0.4808319039451115	1.3375440511461094	0.012654830152241196	1.31295025728988	1.3636441602993918	0.009900990099009901	0.009900990099009901	0.14785669733354123	1.312960117763743	0.7107952596288789	1.5314182056432575	2.0483393107749883	1.3375440511461094	0.7107952596288789	1.5314182056432575	Arg methylation
3	2683	0.09951546775997018	0.11703317182258666	267	314	0.05471859858367499	0.004680694904132842	0.04657100260901975	0.06412597838240774	0.06097651882221393	0.005547039280706102	0.0502981736861722	0.07085352217666789	0.009900990099009901	0.009900990099009901	0.04479686917629519	1.8186772018254886	0.05605665300037273	1.9193154034229831	0.11703317182258666	0.06097651882221393	0.05605665300037273	1.9193154034229831	Lys acylation
5	2683	0.16846813268729036	0.253447633246366	452	680	0.094890048453224	0.005411849863031027	0.08627469250838614	0.10557212076034286	0.12278046962355571	0.006990621245602257	0.11067834513604174	0.1338240775251584	0.009900990099009901	0.009900990099009901	0.07357808423406635	1.7754035900860208	0.13066716362281028	2.0642341084330034	0.253447633246366	0.12278046962355571	0.13066716362281028	2.0642341084330034	Lys acylation
10	2683	0.256429370108088	0.44726052925829296	688	1200	0.1517480432351845	0.006616455338206597	0.14031867312709653	0.1672847558702944	0.23950801341781586	0.010374855576535245	0.21798360044726053	0.25760342899739097	0.009900990099009901	0.009900990099009901	0.10468132687290346	1.689836419904701	0.2077525158404771	1.8674136321195147	0.44726052925829296	0.23950801341781586	0.2077525158404771	1.8674136321195147	Lys acylation
20	2683	0.32612746925083863	0.636600819977637	875	1708	0.22264629146477818	0.007393768581571141	0.21058516585911294	0.23745806932538202	0.4306522549385016	0.014276369090950173	0.40249720462169214	0.45713753261274687	0.009900990099009901	0.009900990099009901	0.10348117778606045	1.4647783581090135	0.20594856503913533	1.4782247455514783	0.636600819977637	0.4306522549385016	0.20594856503913533	1.4782247455514783	Lys acylation
50	2683	0.4308609765188222	1.015281401416325	1156	2724	0.35327618337681693	0.007690189224265678	0.33952664927320164	0.3674990682072307	0.7754453969437197	0.020063352777766035	0.7416697726425643	0.8110696980991428	0.009900990099009901	0.009900990099009901	0.07758479314200528	1.2196151249155978	0.23983600447260522	1.3092880625997345	1.015281401416325	0.7754453969437197	0.23983600447260522	1.3092880625997345	Lys acylation
