distance_aa	sites_total	observed_probability	null_mean_probability	null_q025_probability	null_q975_probability	ratio_vs_null	delta_vs_null	empirical_p_greater	empirical_q_greater
1	12826	0.055044440979260874	0.02508265	0.022064557	0.028535787	2.194522577104729	0.029961791316170168	0.000999000999000999	0.000999000999000999
2	12826	0.14228910026508654	0.060957205	0.056369875	0.06572587	2.3342458256463545	0.08133189571458185	0.000999000999000999	0.000999000999000999
3	12826	0.19140807734289725	0.08549713	0.08045961	0.09052121	2.238766022384381	0.10591094390907843	0.000999000999000999	0.000999000999000999
4	12826	0.23483549041010449	0.10737069	0.1019784	0.112979494	2.1871470834262605	0.12746480089880535	0.000999000999000999	0.000999000999000999
5	12826	0.27717137065336034	0.12777169	0.122329645	0.13371472	2.1692705919054247	0.1493996801654987	0.000999000999000999	0.000999000999000999
6	12826	0.313893653516295	0.15008506	0.1439264	0.15608919	2.091438346865665	0.16380859172773604	0.000999000999000999	0.000999000999000999
7	12826	0.3567753001715266	0.17300513	0.16676867	0.17955714	2.0622237744994223	0.1837701663042628	0.000999000999000999	0.000999000999000999
8	12826	0.3838297208794636	0.1896002	0.18290971	0.19608608	2.024416229363987	0.19422952141848032	0.000999000999000999	0.000999000999000999
9	12826	0.40721970996413537	0.20472556	0.1981132	0.2112116	1.9891004472048421	0.2024941464379818	0.000999000999000999	0.000999000999000999
10	12826	0.42663340090441293	0.21887244	0.21199127	0.2261812	1.949233057234657	0.20776095806288308	0.000999000999000999	0.000999000999000999
11	12826	0.4444877592390457	0.23095654	0.22415406	0.23803212	1.924551520293998	0.2135312197273651	0.000999000999000999	0.000999000999000999
12	12826	0.4578980196475908	0.24333599	0.23670474	0.25035086	1.881752122651271	0.2145620275497362	0.000999000999000999	0.000999000999000999
13	12826	0.47045064712303136	0.2545985	0.24785201	0.26181585	1.8478139116382561	0.21585214877860998	0.000999000999000999	0.000999000999000999
14	12826	0.48308124122875407	0.2661558	0.25946903	0.272967	1.8150317392884825	0.21692543206470682	0.000999000999000999	0.000999000999000999
15	12826	0.49313893653516294	0.2765309	0.26953065	0.2837303	1.7833050534804566	0.21660804487828733	0.000999000999000999	0.000999000999000999
16	12826	0.5002338998908468	0.2858976	0.27904257	0.2930785	1.7496959676967048	0.21433628731913046	0.000999000999000999	0.000999000999000999
17	12826	0.5083424294401996	0.29456404	0.2876189	0.3021246	1.7257450434301962	0.21377839092510864	0.000999000999000999	0.000999000999000999
18	12826	0.5141119600810853	0.30336586	0.2965071	0.3110089	1.6946928905137972	0.2107461036720124	0.000999000999000999	0.000999000999000999
19	12826	0.5191018244191486	0.3109505	0.30406985	0.31841573	1.6694034732180874	0.2081513365670521	0.000999000999000999	0.000999000999000999
20	12826	0.5247154217994698	0.31905526	0.31202245	0.3264463	1.644591043788154	0.20566016257171715	0.000999000999000999	0.000999000999000999
21	12826	0.530329019179791	0.32675725	0.31966126	0.334087	1.6230061171792183	0.20357176696345192	0.000999000999000999	0.000999000999000999
22	12826	0.535552783408701	0.3341326	0.327148	0.34141782	1.6028150637595058	0.20142017165714465	0.000999000999000999	0.000999000999000999
23	12826	0.539762981443942	0.3407307	0.33369717	0.34804302	1.58413370538226	0.19903228452736177	0.000999000999000999	0.000999000999000999
24	12826	0.5450647123031342	0.347974	0.341258	0.3556058	1.5663949277946332	0.19709070994183664	0.000999000999000999	0.000999000999000999
25	12826	0.550210509901762	0.35439548	0.34741735	0.36184508	1.5525325309183278	0.19581503093791008	0.000999000999000999	0.000999000999000999
26	12826	0.5543427413067207	0.360622	0.35381064	0.36808437	1.5371850817869288	0.19372075253337473	0.000999000999000999	0.000999000999000999
27	12826	0.5584749727116795	0.36629027	0.3591104	0.3736161	1.5246786947323019	0.1921847014294834	0.000999000999000999	0.000999000999000999
28	12826	0.5621394043349447	0.37246284	0.36573562	0.3799314	1.5092496368576693	0.18967656544677636	0.000999000999000999	0.000999000999000999
29	12826	0.5651021362856697	0.3783785	0.37151098	0.38570285	1.4934836959319597	0.18672362581051105	0.000999000999000999	0.000999000999000999
30	12826	0.5678309683455481	0.3838038	0.37673283	0.39123848	1.479482346635834	0.18402715369596623	0.000999000999000999	0.000999000999000999
31	12826	0.5709496335568377	0.3891215	0.3821905	0.3962264	1.4672785484388748	0.18182813091897454	0.000999000999000999	0.000999000999000999
32	12826	0.5739123655075627	0.39416945	0.3874922	0.4016061	1.4560041773651329	0.17974291570134937	0.000999000999000999	0.000999000999000999
33	12826	0.5773428972399813	0.399321	0.3924801	0.40667588	1.445811544895062	0.1780219073927981	0.000999000999000999	0.000999000999000999
34	12826	0.5800717292998596	0.40434796	0.3976279	0.4121316	1.4345855356340986	0.1757237731192871	0.000999000999000999	0.000999000999000999
35	12826	0.5828785279900203	0.40903702	0.40176204	0.41649967	1.4250018802689859	0.17384150420729017	0.000999000999000999	0.000999000999000999
36	12826	0.5865429596132855	0.41398567	0.40698192	0.42172152	1.4168194762919166	0.172557290000401	0.000999000999000999	0.000999000999000999
37	12826	0.5904412911273975	0.41870084	0.41150594	0.4264073	1.4101745900890974	0.17174044707794378	0.000999000999000999	0.000999000999000999
38	12826	0.5928582566661469	0.4231983	0.41602603	0.43099952	1.4008993871797513	0.16965994414516605	0.000999000999000999	0.000999000999000999
39	12826	0.5962108217682832	0.42788494	0.420706	0.43599135	1.3933905383027985	0.16832588543558058	0.000999000999000999	0.000999000999000999
40	12826	0.5999532200218306	0.43234465	0.42491814	0.44027755	1.3876735298955465	0.16760857476006608	0.000999000999000999	0.000999000999000999
