distance_aa	label	sites_total	sites_with_neighbor_within_x	observed_probability	null_mean_probability	ratio_vs_null	empirical_p_greater	empirical_q_greater
5	<=5 aa	12826	3555	0.27717137065336034	0.12777169	2.1692705919054247	0.000999000999000999	0.000999000999000999
10	<=10 aa	12826	5472	0.42663340090441293	0.21887244	1.949233057234657	0.000999000999000999	0.000999000999000999
20	<=20 aa	12826	6730	0.5247154217994698	0.31905526	1.644591043788154	0.000999000999000999	0.000999000999000999
