distance_bin	bin_start_exclusive	bin_end_inclusive	observed_probability	null_mean_probability	null_q025_probability	null_q975_probability	ratio_vs_null	log2_ratio_vs_null	empirical_p_greater
<=5 aa	0	5	0.27717137065336034	0.12734991423670666	0.12240760954311555	0.13303835958209886	2.1764551025780743	1.1219802595211499	0.009900990099009901
6-10 aa	5	10	0.1494620302510526	0.09067753001715266	0.08568142834866677	0.09676828317480118	1.6482807838146913	0.7209620258415244	0.009900990099009901
11-20 aa	10	20	0.09808202089505691	0.10031498518634026	0.09368860127865274	0.10770700140339934	0.9777404713051046	-0.032476523829789355	0.7227722772277227
21-40 aa	20	40	0.07523779822236076	0.11365195696242009	0.10764852643068769	0.11961640417901134	0.662001783631748	-0.5950929907956382	1.0
>40 aa	40		0.4000467799781694	0.5680056135973804	0.5604533759550911	0.5750818649617964	0.7043007505586638	-0.5057364747091879	1.0
