nearest_distance_bin	second_nearest_distance_bin	observed_probability	arginine_null_probability	log2_observed_over_null
1	1	0.0	0.0	
1	2	0.0	0.0	
1	3	0.0	0.0	
1	4	0.0	0.0	
1	5	0.0	0.0	
1	6	0.0	0.0	
1	7-8	0.0	0.0	
1	9-10	0.0	0.0	
1	11-15	0.0	0.0	
1	16-20	0.0	0.0	
1	21-30	0.0	0.0	
1	31-40	0.0	0.0	
1	41-60	0.0	0.0	
1	61-80	0.0	0.0	
1	81-100	0.0	0.0	
1	>100/none	0.0	0.0	
2	1	0.0	0.0	
2	2	0.0006237330422579137	0.0005099017620458437	0.2907093642766442
2	3	0.00389833151411196	0.001744893185716513	1.1597180585730555
2	4	0.00389833151411196	0.0015003898331514124	1.377519390354589
2	5	0.003118665211289568	0.0012315608919382492	1.3404407270891021
2	6	0.002261032278184937	0.000859504132231405	1.395405107085368
2	7-8	0.0037423982535474817	0.0015842819273351	1.2401340037237154
2	9-10	0.003976298144394199	0.0012736628722906595	1.6424424757557814
2	11-15	0.005145797598627788	0.0022682052081709034	1.1818435430587242
2	16-20	0.0018711991267737408	0.0012998596600654912	0.5256072231047358
2	21-30	0.0020271323873382193	0.0016257601746452527	0.318325858207166
2	31-40	0.0017932324964915016	0.0011211601434585991	0.6775701853924405
2	41-60	0.002572898799313894	0.0015225323561515668	0.756921824239387
2	61-80	0.0018711991267737408	0.0009524403555278339	0.974262438586392
2	81-100	0.0006237330422579137	0.0006783096834554802	-0.12101540096136405
2	>100/none	0.01762045844378606	0.003157024793388431	2.480613964478326
3	1	0.0	0.0	
3	2	0.0	0.0	
3	3	0.004989864338063309	0.0011835334476843892	2.075900114359261
3	4	0.006003430531732418	0.0018425074068298757	1.7041167145921998
3	5	0.011227194760642444	0.003139872134726334	1.8382197849434214
3	6	0.0054576641197567445	0.001716201465772649	1.669064688277693
3	7-8	0.0097458287852799	0.00372150319663184	1.3888994023133507
3	9-10	0.006237330422579136	0.002503040698581006	1.3172469387694548
3	11-15	0.007874629658506159	0.003091844690472477	1.348744223943555
3	16-20	0.004210198035240917	0.0017583034461250578	1.2597040242551343
3	21-30	0.0036644316232652425	0.002354904101044753	0.6379211344575887
3	31-40	0.003118665211289568	0.0015091220957430228	1.0472191556726496
3	41-60	0.003430531732418525	0.002685482613441449	0.3532508303453541
3	61-80	0.002572898799313894	0.0010020271323873376	1.3604731385491295
3	81-100	0.0012474660845158273	0.0006714486199906434	0.8936516804948547
3	>100/none	0.017464525183221582	0.0032958053952908137	2.4057244554728645
4	1	0.0	0.0	
4	2	0.0	0.0	
4	3	0.0	0.0	
4	4	0.0017152658662092624	0.0005201933572430994	1.7213123298547222
4	5	0.004054264774676439	0.0014957118353344776	1.4386080593889548
4	6	0.004288164665523156	0.001510993294869795	1.504863047884304
4	7-8	0.006003430531732418	0.0027135506003430534	1.1456053222468994
4	9-10	0.004132231404958678	0.0019953220021830657	1.0502994621096124
4	11-15	0.005535630750038983	0.0028841415874005932	0.9406057216660898
4	16-20	0.00194916575705598	0.0016407297676594421	0.24851913970202194
4	21-30	0.002806798690160611	0.001959145485732106	0.5187010584524353
4	31-40	0.0016372992359270232	0.0012839544674879155	0.35072397411957756
4	41-60	0.0016372992359270232	0.0015534071417433334	0.07588201176826036
4	61-80	0.0010915328239513489	0.0008713550600343044	0.3250229013102295
4	81-100	0.0012474660845158273	0.0005598004054264768	1.156016155951675
4	>100/none	0.013020427257133947	0.0027497271167940115	2.243416432763651
5	1	0.0	0.0	
5	2	0.0	0.0	
5	3	0.0	0.0	
5	4	0.0	0.0	
5	5	0.0017152658662092624	0.000542024013722126	1.6620035364849866
