distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	restrict_context	null_match_disorder
3	12826	0.19140807734289725	0.2137845002338999	2455	2742	0.08534851083736161	0.002566264873196498	0.08061749571183534	0.09025222204896305	0.09606268517074691	0.0030973583328277945	0.09004755964447217	0.10143848432870732	0.009900990099009901	0.009900990099009901	0.10605956650553564	2.2426645229656157	0.11772181506315298	2.2254687119551986	all	True
5	12826	0.27717137065336034	0.3480430375799158	3555	4464	0.12734991423670666	0.0027545288248997557	0.12240760954311555	0.13303835958209886	0.15983938874161863	0.003917994095852226	0.15343053173241852	0.16748791517230627	0.009900990099009901	0.009900990099009901	0.14982145641665368	2.1764551025780743	0.18820364883829716	2.1774547583044725	all	True
10	12826	0.42663340090441293	0.6826758147512865	5472	8756	0.2180274442538594	0.003932208950044986	0.21068337751442381	0.22529432402931546	0.3378855449867458	0.005850799603674	0.3279276469670981	0.34790269764540777	0.009900990099009901	0.009900990099009901	0.20860595665055354	1.956787607011822	0.3447902697645407	2.0204350996372624	all	True
20	12826	0.5247154217994698	1.148292530796819	6730	14728	0.3183424294401996	0.0036891361398418724	0.311490332137845	0.3258264462809917	0.6325432714798066	0.008057161482480826	0.6196436924996102	0.6497388117885544	0.009900990099009901	0.009900990099009901	0.20637299235927026	1.6482735987225268	0.5157492593170124	1.8153580672993963	all	True
50	12826	0.6203025105254951	2.0483393107749883	7956	26272	0.4724458131919539	0.004202199733317003	0.4648253547481678	0.4808319039451115	1.3375440511461094	0.012654830152241196	1.31295025728988	1.3636441602993918	0.009900990099009901	0.009900990099009901	0.14785669733354123	1.312960117763743	0.7107952596288789	1.5314182056432575	all	True
