window_aa	significant_proteins	tested_proteins	median_log2_enrichment	q10_log2_enrichment	q90_log2_enrichment
5	19	1420	0.14627044067150957	-0.24159573787625427	0.9268652953697846
10	43	1420	0.497669488161579	-0.23890907010191179	0.9406447223835788
15	49	1420	0.4951257688463069	-0.2558028366027179	1.0315283593566982
20	60	1420	0.4880260182181989	-0.2561648681705876	1.063712728539588
30	64	1420	0.4925859902309892	-0.2981303929970474	1.081079696571118
50	71	1420	0.44385707395785745	-0.276317948410104	1.0097712522935245
75	79	1420	0.359302009069761	-0.2499911848954146	0.9635577544855887
100	86	1420	0.3075728019102923	-0.19585071828839987	0.9003019777993073
