nearest_neighbor_distance_bin	site_count	site_fraction	null_mean_site_fraction
1	706	0.055044440979260874	0.0248479650709496
2	1119	0.08724465928582567	0.0357773273039139
3	630	0.0491189770778107	0.0247232184624981
4-5	1100	0.08576329331046312	0.04200140339934501
6-10	1917	0.14946203025105256	0.09067753001715279
11-20	1258	0.09808202089505691	0.10031498518634019
21-40	965	0.07523779822236083	0.11365195696242003
41-100	1152	0.08981755808513955	0.1629323249649151
>100/no neighbor	3979	0.31022922189302976	0.4050732886324653
