distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	restrict_context	null_match_disorder
1	12826	0.055044440979260874	0.05566817402151879	706	714	0.02484796507094963	0.0017287975850681003	0.021555824107282084	0.028658584125994074	0.025398409480742238	0.0017928085434853358	0.021986589739591455	0.02932324964915016	0.009900990099009901	0.009900990099009901	0.030196475908311243	2.215249450894258	0.03026976454077655	2.1917976424361494	all	True
2	12826	0.14228910026508654	0.15187899578980196	1825	1948	0.06062529237486355	0.0024371963968514653	0.05511461094651489	0.0645680648682364	0.06526586620926243	0.0027414037685154855	0.059164977389677215	0.07018556058007172	0.009900990099009901	0.009900990099009901	0.08166380789022298	2.3470253864554134	0.08661312958053953	2.327081591207741	all	True
3	12826	0.19140807734289725	0.2137845002338999	2455	2742	0.08534851083736161	0.002566264873196498	0.08061749571183534	0.09025222204896305	0.09606268517074691	0.0030973583328277945	0.09004755964447217	0.10143848432870732	0.009900990099009901	0.009900990099009901	0.10605956650553564	2.2426645229656157	0.11772181506315298	2.2254687119551986	all	True
4	12826	0.23483549041010449	0.2817714018400125	3012	3614	0.10708404802744427	0.0027647532496618415	0.10232535474816778	0.11207898019647591	0.1286246686418213	0.003759596384221118	0.12185794479962576	0.13488227038827383	0.009900990099009901	0.009900990099009901	0.12775144238266023	2.193001616355773	0.1531467331981912	2.190648223356408	all	True
5	12826	0.27717137065336034	0.3480430375799158	3555	4464	0.12734991423670666	0.0027545288248997557	0.12240760954311555	0.13303835958209886	0.15983938874161863	0.003917994095852226	0.15343053173241852	0.16748791517230627	0.009900990099009901	0.009900990099009901	0.14982145641665368	2.1764551025780743	0.18820364883829716	2.1774547583044725	all	True
6	12826	0.313893653516295	0.414938406362077	4026	5322	0.14956962420084202	0.0031868451964294285	0.14376656790893497	0.15618665211289567	0.19750974582878528	0.004535251859390798	0.18953297988460938	0.2062256354280368	0.009900990099009901	0.009900990099009901	0.16432402931545298	2.098645732336659	0.21742866053329174	2.1008502877714883	all	True
7	12826	0.3567753001715266	0.4968033681584282	4576	6372	0.17226648994230473	0.003254878584237221	0.1666926555434274	0.17942850460003118	0.2391532823951349	0.0047124021205937824	0.23108529549352877	0.24835100576953065	0.009900990099009901	0.009900990099009901	0.18450881022922186	2.071066173641881	0.2576500857632933	2.0773428789390294	all	True
8	12826	0.3838297208794636	0.5612038047715577	4923	7198	0.18875331358178699	0.0034457543415783607	0.18286878216123498	0.19516996725401528	0.2732246998284734	0.004883580587821863	0.2653165445189459	0.2823288632465305	0.009900990099009901	0.009900990099009901	0.1950764072976766	2.033499246163696	0.2879791049430843	2.0540009930429917	all	True
9	12826	0.40721970996413537	0.620614377046624	5223	7960	0.20399812880087317	0.003792587110490926	0.19795727428660534	0.21027990020271323	0.30577420863870264	0.005453736473485455	0.2967409948542024	0.31569078434430065	0.009900990099009901	0.009900990099009901	0.2032215811632622	1.9961933590166947	0.3148401684079214	2.029649197064658	all	True
10	12826	0.42663340090441293	0.6826758147512865	5472	8756	0.2180274442538594	0.003932208950044986	0.21068337751442381	0.22529432402931546	0.3378855449867458	0.005850799603674	0.3279276469670981	0.34790269764540777	0.009900990099009901	0.009900990099009901	0.20860595665055354	1.956787607011822	0.3447902697645407	2.0204350996372624	all	True
11	12826	0.4444877592390457	0.7392795883361921	5701	9482	0.23030329019179796	0.0037359554565178496	0.22378956806486824	0.23782551068142835	0.3685825666614689	0.006122275751479068	0.35716123499142366	0.3793583346327771	0.009900990099009901	0.009900990099009901	0.21418446904724775	1.9300104608530502	0.37069702167472324	2.0057367200852894	all	True
12	12826	0.4578980196475908	0.79073756432247	5873	10142	0.24257991579603932	0.0037524596022592803	0.23619405894277248	0.25005457664119757	0.3993871822859816	0.006600146037986462	0.38700296273195073	0.4111531264618743	0.009900990099009901	0.009900990099009901	0.21531810385155148	1.887617192647517	0.3913503820364884	1.9798771703100417	all	True
13	12826	0.47045064712303136	0.8432870731326992	6034	10816	0.2537073132699204	0.0038544129639864794	0.24759472945579292	0.2608880399189147	0.431216279432403	0.0070977155830837324	0.41850148136597537	0.4445891158584126	0.009900990099009901	0.009900990099009901	0.21674333385311095	1.85430463576159	0.41207079370029626	1.95560119910754	all	True
14	12826	0.48308124122875407	0.8964603149851863	6196	11498	0.26555044440979264	0.003770046712721075	0.2593754872914393	0.27269023857788866	0.46480742242320283	0.007024070359951426	0.45145407765476375	0.4766957742086387	0.009900990099009901	0.009900990099009901	0.21753079681896142	1.8191693947356828	0.43165289256198347	1.9286703949597592	all	True
15	12826	0.49313893653516294	0.9416809605488851	6325	12078	0.2759231249025417	0.0035899130250525457	0.2692148760330578	0.28331319195384375	0.4952455948853891	0.007057133890616765	0.4805785123966942	0.5079876812724154	0.009900990099009901	0.009900990099009901	0.21721581163262121	1.7872330806246979	0.44643536566349595	1.901442375811159	all	True
16	12826	0.5002338998908468	0.9870575393731483	6416	12660	0.2851762045844379	0.0035022546891603674	0.27821807266489945	0.2917589271791673	0.5241400280679869	0.007360170531693677	0.5092468423514735	0.537919070637767	0.009900990099009901	0.009900990099009901	0.2150576953064089	1.7541221597355694	0.46291751130516146	1.8831943498219446	all	True
