distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	restrict_context	null_match_disorder	log2_ratio_prob_neighbor_within_x_vs_null	log2_ratio_other_methyl_args_within_x_vs_null
5	12826	0.27717137065336034	0.3480430375799158	3555	4464	0.12734991423670666	0.0027545288248997557	0.12240760954311555	0.13303835958209886	0.15983938874161863	0.003917994095852226	0.15343053173241852	0.16748791517230627	0.009900990099009901	0.009900990099009901	0.14982145641665368	2.1764551025780743	0.18820364883829716	2.1774547583044725	all	True	1.1219802595211499	1.1226427437849473
10	12826	0.42663340090441293	0.6826758147512865	5472	8756	0.2180274442538594	0.003932208950044986	0.21068337751442381	0.22529432402931546	0.3378855449867458	0.005850799603674	0.3279276469670981	0.34790269764540777	0.009900990099009901	0.009900990099009901	0.20860595665055354	1.956787607011822	0.3447902697645407	2.0204350996372624	all	True	0.9684871719382787	1.0146660100537799
20	12826	0.5247154217994698	1.148292530796819	6730	14728	0.3183424294401996	0.0036891361398418724	0.311490332137845	0.3258264462809917	0.6325432714798066	0.008057161482480826	0.6196436924996102	0.6497388117885544	0.009900990099009901	0.009900990099009901	0.20637299235927026	1.6482735987225268	0.5157492593170124	1.8153580672993963	all	True	0.7209557369133701	0.8602541382858307
40	12826	0.5999532200218306	1.7952596288788398	7695	23026	0.4319943864026196	0.0039278646057327405	0.42491813503820364	0.4395466240449088	1.1187681272415406	0.010823751707935217	1.095680648682364	1.1420707937002963	0.009900990099009901	0.009900990099009901	0.167958833619211	1.3887986485608472	0.6764915016372992	1.6046753435005978	all	True	0.47383744901001235	0.6822814420830106
