family_1	family_2	family_1_genes	family_2_genes	overlap_genes	jaccard	overlap_coefficient	substantial_overlap_flag
Immune / inflammatory	Parkinsonism	6521	2104	1491	0.2089991589571068	0.7086501901140685	True
Immune / inflammatory	Ataxia / cerebellar degeneration	6521	1827	1032	0.14106068890103882	0.5648604269293924	True
Immune / inflammatory	Myopathy / muscle / cardiomyopathy	6521	2797	1979	0.2696552663850661	0.7075437969252771	True
Immune / inflammatory	Cancer / neoplasia	6521	13574	6024	0.4281145618648284	0.9237846955988346	True
Immune / inflammatory	Immune / inflammatory	6521	6521	6521	1.0	1.0	True
Immune / inflammatory	Developmental / congenital syndromes	6521	8677	4842	0.4675550405561993	0.7425241527373102	True
Developmental / congenital syndromes	ALS / motor neuron / FTD	8677	1474	1252	0.14068996516462523	0.8493894165535957	True
Developmental / congenital syndromes	Alzheimer / tau / dementia	8677	3435	2774	0.2970657528378668	0.8075691411935954	True
Developmental / congenital syndromes	Parkinsonism	8677	2104	1715	0.18916832120008825	0.8151140684410646	True
Developmental / congenital syndromes	Ataxia / cerebellar degeneration	8677	1827	1662	0.18796652341099299	0.909688013136289	True
Developmental / congenital syndromes	Myopathy / muscle / cardiomyopathy	8677	2797	2459	0.2727676095396561	0.879156238827315	True
Developmental / congenital syndromes	Cancer / neoplasia	8677	13574	7773	0.5368835474513054	0.8958165264492336	True
Developmental / congenital syndromes	Immune / inflammatory	8677	6521	4842	0.4675550405561993	0.7425241527373102	True
Developmental / congenital syndromes	Developmental / congenital syndromes	8677	8677	8677	1.0	1.0	True
