disease_family	contributing_ontology_terms	methylarginine_protein_count	background_count	family_gene_count	methylarginine_denominator	background_denominator	odds_ratio	p_value	BH_adjusted_p	minus_log10_BH_adjusted_p
Cancer / neoplasia	3256	3774	9800	13574	4683	15391	2.3686529265171417	6.80579579795003e-111	5.444636638360024e-110	109.26403109868522
Ataxia / cerebellar degeneration	304	647	1180	1827	4683	15391	1.930615351665519	1.567659033987099e-34	4.180424090632264e-34	33.3787796582061
ALS / motor neuron / FTD	81	492	982	1474	4683	15391	1.7225419031471279	8.650410869430211e-20	1.1533881159240282e-19	18.93802452770855
Developmental / congenital syndromes	3233	2479	6198	8677	4683	15391	1.6682864591294306	1.6523213656442384e-52	6.609285462576954e-52	51.179845490050496
Myopathy / muscle / cardiomyopathy	455	871	1926	2797	4683	15391	1.59740609803005	1.4734480164711178e-24	2.9468960329422355e-24	23.530635185872494
Alzheimer / tau / dementia	73	1021	2414	3435	4683	15391	1.4988026110206392	1.9805342626927108e-21	3.1688548203083374e-21	20.49909765736485
Parkinsonism	62	626	1478	2104	4683	15391	1.4524984465280444	6.930254836015766e-13	6.930254836015766e-13	12.159250795425626
Immune / inflammatory	521	1735	4786	6521	4683	15391	1.3040972482495021	4.0445884670897255e-14	4.622386819531115e-14	13.33513371386373
