entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
4854	NOTCH3	True	2	C0033790;C0338451	Pseudobulbar Palsy;Frontotemporal dementia
27035	NOX1	False	2	C0002736;C0085084	Amyotrophic Lateral Sclerosis;Motor Neuron Disease
4864	NPC1	False	1	C0751072	Frontotemporal Lobar Degeneration
10577	NPC2	False	1	C0751072	Frontotemporal Lobar Degeneration
9520	NPEPPS	True	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
4869	NPM1	True	1	C0751072	Frontotemporal Lobar Degeneration
4852	NPY	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
8856	NR1I2	False	1	C0002736	Amyotrophic Lateral Sclerosis
7182	NR2C2	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
4893	NRAS	False	1	C4522181	Brachial Amyotrophic Diplegia
4899	NRF1	False	1	C0002736	Amyotrophic Lateral Sclerosis
3084	NRG1	False	2	C0002736;C0085084	Amyotrophic Lateral Sclerosis;Motor Neuron Disease
4900	NRGN	True	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
8829	NRP1	False	1	C0002736	Amyotrophic Lateral Sclerosis
9378	NRXN1	True	1	C0002736	Amyotrophic Lateral Sclerosis
