entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
387893	KMT5A	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
3837	KPNB1	True	1	C1862941	Amyotrophic Lateral Sclerosis, Sporadic
26013	L3MBTL1	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
3898	LAD1	True	1	C0338451	Frontotemporal dementia
3909	LAMA3	True	1	C0002736	Amyotrophic Lateral Sclerosis
3915	LAMC1	True	1	C0002736	Amyotrophic Lateral Sclerosis
3918	LAMC2	False	7	C0002736;C0030442;C0338451;C0751072;C3811918;C4011788;C4082299	Amyotrophic Lateral Sclerosis;Progressive bulbar palsy;Frontotemporal dementia;Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia;Behavioral variant of frontotemporal dementia;Bulbar palsy
3916	LAMP1	False	3	C0338451;C0751072;C4551993	Frontotemporal dementia;Frontotemporal Lobar Degeneration;Amyotrophic Lateral Sclerosis, Familial
3920	LAMP2	True	2	C0751072;C1833662	Frontotemporal Lobar Degeneration;INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
10314	LANCL1	False	1	C0002736	Amyotrophic Lateral Sclerosis
81887	LAS1L	True	1	C0085084	Motor Neuron Disease
27040	LAT	False	3	C1862939;C1862941;C4551993	AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;Amyotrophic Lateral Sclerosis, Familial
3929	LBP	False	1	C0751072	Frontotemporal Lobar Degeneration
3934	LCN2	False	4	C0002736;C0085084;C0338451;C0751072	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal dementia;Frontotemporal Lobar Degeneration
3949	LDLR	False	3	C1862939;C1862941;C4551993	AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;Amyotrophic Lateral Sclerosis, Familial
3952	LEP	False	3	C0002736;C0338451;C0751072	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Frontotemporal Lobar Degeneration
3956	LGALS1	False	2	C0002736;C4551993	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis, Familial
3957	LGALS2	False	1	C0002736	Amyotrophic Lateral Sclerosis
3958	LGALS3	False	1	C0002736	Amyotrophic Lateral Sclerosis
3960	LGALS4	False	1	C0002736	Amyotrophic Lateral Sclerosis
8549	LGR5	False	1	C0002736	Amyotrophic Lateral Sclerosis
3976	LIF	False	2	C0002736;C4551993	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis, Familial
3981	LIG4	True	1	C0002736	Amyotrophic Lateral Sclerosis
11027	LILRA2	False	1	C0002736	Amyotrophic Lateral Sclerosis
89782	LMLN	False	2	C0002736;C4551993	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis, Familial
4000	LMNA	True	1	C0338451	Frontotemporal dementia
4001	LMNB1	True	2	C0002736;C0033790	Amyotrophic Lateral Sclerosis;Pseudobulbar Palsy
56203	LMOD3	False	1	C4082299	Bulbar palsy
4012	LNPEP	True	1	C4024896	Motor neuron atrophy
9361	LONP1	True	1	C0002736	Amyotrophic Lateral Sclerosis
4015	LOX	False	1	C4534438	Non-Alzheimer's dementia (e.g., Lewy body dementia, vascular or multi-infarct dementia; mixed dementia; frontotemporal dementia such as Pick's disease; and dementia related to stroke, Parkinson's or Creutzfeldt-Jakob diseases)
4038	LRP4	True	1	C0002736	Amyotrophic Lateral Sclerosis
120892	LRRK2	False	6	C0002736;C0085084;C0338451;C0543859;C0751072;C3811918	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal dementia;Amyotrophic Lateral Sclerosis, Guam Form;Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia
90678	LRSAM1	False	1	C4024896	Motor neuron atrophy
57819	LSM2	False	4	C0002736;C0085084;C0751072;C3811918	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia
4055	LTBR	False	1	C0002736	Amyotrophic Lateral Sclerosis
4060	LUM	False	1	C0002736	Amyotrophic Lateral Sclerosis
56925	LXN	False	1	C0002736	Amyotrophic Lateral Sclerosis
4061	LY6E	False	3	C0002736;C0085084;C4551993	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Amyotrophic Lateral Sclerosis, Familial
259215	LY6G6F	False	1	C0751072	Frontotemporal Lobar Degeneration
9762	LZTS3	True	1	C0002736	Amyotrophic Lateral Sclerosis
57692	MAGEE1	False	1	C0002736	Amyotrophic Lateral Sclerosis
84061	MAGT1	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
84549	MAK16	False	6	C0002736;C0338451;C0751072;C1862941;C3811918;C4551993	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Frontotemporal Lobar Degeneration;Amyotrophic Lateral Sclerosis, Sporadic;GRN-related frontotemporal dementia;Amyotrophic Lateral Sclerosis, Familial
4128	MAOA	False	1	C0338451	Frontotemporal dementia
4129	MAOB	False	1	C0002736	Amyotrophic Lateral Sclerosis
4131	MAP1B	True	1	C0002736	Amyotrophic Lateral Sclerosis
4133	MAP2	True	1	C0002736	Amyotrophic Lateral Sclerosis
6416	MAP2K4	True	2	C0751072;C3811918	Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia
5607	MAP2K5	True	1	C0002736	Amyotrophic Lateral Sclerosis
9020	MAP3K14	True	1	C0338451	Frontotemporal dementia
4217	MAP3K5	True	1	C0002736	Amyotrophic Lateral Sclerosis
6885	MAP3K7	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
1326	MAP3K8	False	1	C0002736	Amyotrophic Lateral Sclerosis
8491	MAP4K3	False	1	C0002736	Amyotrophic Lateral Sclerosis
9448	MAP4K4	True	3	C0002736;C0338451;C4024896	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Motor neuron atrophy
5594	MAPK1	True	2	C0002736;C4522181	Amyotrophic Lateral Sclerosis;Brachial Amyotrophic Diplegia
1432	MAPK14	True	1	C0002736	Amyotrophic Lateral Sclerosis
5595	MAPK3	True	3	C0002736;C0338451;C4522181	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Brachial Amyotrophic Diplegia
5599	MAPK8	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
5601	MAPK9	False	1	C0002736	Amyotrophic Lateral Sclerosis
4137	MAPT	False	15	C0002736;C0085084;C0270764;C0338451;C0543859;C0751072;C1839042;C1862941;C1865412;C3811918;C4011788;C4021584;C4024896;C4534438;C4551993	Amyotrophic Lateral Sclerosis;Motor Neuron Disease;Motor Neuron Disease, Lower;Frontotemporal dementia;Amyotrophic Lateral Sclerosis, Guam Form;Frontotemporal Lobar Degeneration;Upper motor neuron dysfunction;Amyotrophic Lateral Sclerosis, Sporadic;Abnormal lower motor neuron morphology;GRN-related frontotemporal dementia;Behavioral variant of frontotemporal dementia;Frontotemporal cerebral atrophy;Motor neuron atrophy;Non-Alzheimer's dementia (e.g., Lewy body dementia, vascular or multi-infarct dementia; mixed dementia; frontotemporal dementia such as Pick's disease; and dementia related to stroke, Parkinson's or Creutzfeldt-Jakob diseases);Amyotrophic Lateral Sclerosis, Familial
4082	MARCKS	False	1	C0002736	Amyotrophic Lateral Sclerosis
5648	MASP1	False	5	C1833662;C1842675;C1862939;C1862941;C3542025	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA;AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder);AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE
10747	MASP2	False	1	C0338451	Frontotemporal dementia
9782	MATR3	True	11	C0002736;C0338451;C0751072;C1862939;C1862941;C1865412;C3807521;C3811918;C4025723;C4082299;C4551993	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Frontotemporal Lobar Degeneration;AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;Abnormal lower motor neuron morphology;AMYOTROPHIC LATERAL SCLEROSIS 21;GRN-related frontotemporal dementia;Abnormal upper motor neuron morphology;Bulbar palsy;Amyotrophic Lateral Sclerosis, Familial
4151	MB	False	1	C0002736	Amyotrophic Lateral Sclerosis
4155	MBP	True	1	C0002736	Amyotrophic Lateral Sclerosis
4160	MC4R	False	1	C0002736	Amyotrophic Lateral Sclerosis
