canonical_UniProtAC	primary_symbol	protein_name	functional_class_broad	ENTREZID
Q9H0W8	SMG9	Nonsense-mediated mRNA decay factor SMG9; ; Nonsense-mediated mRNA decay factor SMG9	Poorly characterized / specialized;Signaling / enzymes	56006
A8MWD9	SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15; ; Putative small nuclear ribonucleoprotein G-like protein 15	Poorly characterized / specialized;RNA-binding / RNP	100130932
P18583	SON	Protein SON; ; Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	DNA repair / genome maintenance;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;RNA-binding / RNP	6651
Q92673	SORL1	Sortilin-related receptor precursor; ; Sortilin-related receptor (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (SorLA)	Cytoplasmic / trafficking / cytoskeleton;Membrane / receptor / extracellular;Poorly characterized / specialized;RNA-binding / RNP	6653
O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4; ; C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	9043
Q9UBP0	SPAST	Spastin; ; Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)	Poorly characterized / specialized	6683
Q68DN1	SPATA31H1	Spermatogenesis-associated protein 31H1; ; Spermatogenesis-associated protein 31H1	Poorly characterized / specialized	84226
Q9BUA3	SPINDOC	Spindlin interactor and repressor of chromatin-binding protein; ; Spindlin interactor and repressor of chromatin-binding protein (SPIN1-docking protein) (SPIN-DOC)	Chromatin / transcription;Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	144097
Q5T280	SPOUT1	Putative methyltransferase C9orf114; ; 28S rRNA (uridine-N(3))-methyltransferase (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (Methyltransferase C9orf114) (Ribosomal RNA methyltransferase SPOUT1) (SPOUT domain-containing methyltransferase 1)	Cell cycle / centrosome / spindle;Chromatin / transcription;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	51490
Q9BYN0	SRXN1	Sulfiredoxin-1; ; Sulfiredoxin-1 (EC 1.8.98.2)	Poorly characterized / specialized	140809
Q7RTT3	SSX9	Putative protein SSX9	Chromatin / transcription;Poorly characterized / specialized	NA
P50502	ST13	Hsc70-interacting protein; ; Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	Cytoplasmic / trafficking / cytoskeleton;DNA repair / genome maintenance;Membrane / receptor / extracellular;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	6767
P16949	STMN1	Stathmin; ; Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)	Poorly characterized / specialized	3925
Q5TH74	STPG1	O(6)-methylguanine-induced apoptosis 2; ; O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)	Poorly characterized / specialized	90529
E7EQI5	SYNE1		Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	23345
Q7Z422	SZRD1	SUZ domain-containing protein 1; ; SUZ RNA-binding domain-containing (SUZ domain-containing protein 1) (Putative MAPK-activating protein PM18/PM20/PM22)	Poorly characterized / specialized	26099
Q5T011	SZT2	KICSTOR complex protein SZT2; ; KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog)	Poorly characterized / specialized	23334
Q5VWN6	TASOR2	Protein TASOR 2; ; Protein TASOR 2	Poorly characterized / specialized	54906
Q15560	TCEA2	Transcription elongation factor A protein 2; ; Transcription elongation factor A protein 2 (Testis-specific S-II) (Transcription elongation factor S-II protein 2) (Transcription elongation factor TFIIS.l)	Chromatin / transcription;Poorly characterized / specialized;Translation / ribosome / biogenesis	6919
Q7L2K0	TEDC2	Tubulin epsilon and delta complex protein 2; ; Tubulin epsilon and delta complex protein 2	Poorly characterized / specialized	80178
Q15569	TESK1	Dual specificity testis-specific protein kinase 1; ; Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	Poorly characterized / specialized;Signaling / enzymes	7016
Q13769	THOC5	THO complex subunit 5 homolog; ; THO complex subunit 5 (Functional spliceosome-associated protein 79) (fSAP79) (NF2/meningioma region protein pK1.3) (Placental protein 39.2) (PP39.2) (hTREX90)	Poorly characterized / specialized;RNA-binding / RNP	8563
Q9BTF0	THUMPD2	THUMP domain-containing protein 2; ; U6 snRNA (guanine-N(2))-methyltransferase THUMPD2 (EC 2.1.1.-) (THUMP domain-containing protein 2)	Chromatin / transcription;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	80745
Q9NQ88	TIGAR	Fructose-2,6-bisphosphatase TIGAR; ; Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	Mitochondrial / metabolism;Poorly characterized / specialized;Signaling / enzymes	57103
Q9Y519	TMEM184B	Transmembrane protein 184B; ; Transmembrane protein 184B (Putative MAPK-activating protein FM08)	Membrane / receptor / extracellular;Poorly characterized / specialized	25829
Q9BVT8	TMUB1	Transmembrane and ubiquitin-like domain-containing protein 1; ; Transmembrane and ubiquitin-like domain-containing protein 1 (Dendritic cell-derived ubiquitin-like protein) (DULP) (Hepatocyte odd protein shuttling protein) (Ubiquitin-like protein SB144) [Cleaved into: iHOPS]	Membrane / receptor / extracellular;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	83590
O94842	TOX4	TOX high mobility group box family member 4; ; TOX high mobility group box family member 4	Chromatin / transcription;Poorly characterized / specialized	9878
Q96S44	TP53RK	EKC/KEOPS complex subunit TP53RK; ; EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	Poorly characterized / specialized;Signaling / enzymes	112858
Q9Y2B4	TP53TG5	TP53-target gene 5 protein; ; TP53-target gene 5 protein (TP53-inducible gene 5 protein)	Poorly characterized / specialized	27296
P09493	TPM1	Tropomyosin alpha-1 chain; ; Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	7168
Q4KMQ1	TPRN	Taperin; ; Taperin	Poorly characterized / specialized	286262
O43734	TRAF3IP2	E3 ubiquitin ligase TRAF3IP2; ; E3 ubiquitin ligase TRAF3IP2 (EC 2.3.2.27) (Adapter protein CIKS) (Connection to IKK and SAPK/JNK) (E3 ubiquitin-protein ligase CIKS) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	10758
Q9BQ61	TRIR	Telomerase RNA component interacting RNase; ; Telomerase RNA component interacting RNase (EC 3.1.13.-) (Exoribonuclease TRIR)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;RNA-binding / RNP	79002
Q96FX7	TRMT61A	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A; ; tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A (EC 2.1.1.220) (mRNA methyladenosine-N(1)-methyltransferase catalytic subunit TRMT61A) (EC 2.1.1.-) (tRNA(m1A58)-methyltransferase subunit TRMT61A) (tRNA(m1A58)MTase subunit TRMT61A)	Chromatin / transcription;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	115708
Q8TEL6	TRPC4AP	Short transient receptor potential channel 4-associated protein; ; Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)	Membrane / receptor / extracellular;Poorly characterized / specialized;RNA-binding / RNP	26133
Q5SRN2	TSBP1	Testis-expressed basic protein 1; ; Testis-expressed basic protein 1 (Uncharacterized protein C6orf10)	Poorly characterized / specialized	10665
O43657	TSPAN6	Tetraspanin-6; ; Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6)	Membrane / receptor / extracellular;Poorly characterized / specialized	7105
Q9H0U9	TSPYL1	Testis-specific Y-encoded-like protein 1; ; Testis-specific Y-encoded-like protein 1 (TSPY-like protein 1)	Poorly characterized / specialized	7259
Q9UJK0	TSR3	18S rRNA aminocarboxypropyltransferase; ; 18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157) (20S S rRNA accumulation protein 3 homolog) (HsTsr3)	Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	115939
Q9Y5U2	TSSC4	U5 small nuclear ribonucleoprotein TSSC4; ; U5 small nuclear ribonucleoprotein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein)	Poorly characterized / specialized;RNA-binding / RNP	10078
C9JJV1	TSSC4		Poorly characterized / specialized	10078
P68366	TUBA4A	Tubulin alpha-4A chain; ; Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	Poorly characterized / specialized;Signaling / enzymes	7277
O75896	TUSC2	Tumor suppressor candidate 2; ; Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2)	Poorly characterized / specialized;RNA-binding / RNP	11334
Q9UMX0	UBQLN1	Ubiquilin-1; ; Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	29979
Q9BZX2	UCK2	Uridine-cytidine kinase 2; ; Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)	Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	7371
Q9NUQ7	UFSP2	Ufm1-specific protease 2; ; Ufm1-specific protease 2 (UfSP2) (EC 3.4.22.-)	Poorly characterized / specialized;Signaling / enzymes	55325
Q9BQ65	USB1	U6 snRNA phosphodiesterase 1 (hUsb1) (3'-5' RNA exonuclease USB1) (EC 4.6.1.-) (Mutated in poikiloderma with neutropenia protein 1) (Mutated in PN protein 1) (hMpn1)	Poorly characterized / specialized;Signaling / enzymes	79650
O94782	USP1	Ubiquitin carboxyl-terminal hydrolase 1; ; Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1) [Cleaved into: Ubiquitin carboxyl-terminal hydrolase 1, N-terminal fragment]	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	7398
Q70EL1	USP54	Inactive ubiquitin carboxyl-terminal hydrolase 54; ; Ubiquitin carboxyl-terminal hydrolase 54 (EC 3.4.19.12) (Ubiquitin-specific peptidase 54)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	159195
Q9BRU9	UTP23	rRNA-processing protein UTP23 homolog; ; rRNA-processing protein UTP23 homolog	Poorly characterized / specialized;Translation / ribosome / biogenesis	84294
Q68CQ4	UTP25	U3 small nucleolar RNA-associated protein 25 homolog; ; U3 small nucleolar RNA-associated protein 25 homolog (Digestive organ expansion factor homolog) (UTP25 small subunit processor component)	Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	27042
Q9NYH9	UTP6	U3 small nucleolar RNA-associated protein 6 homolog; ; U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein)	DNA repair / genome maintenance;Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP;Translation / ribosome / biogenesis	55813
O14598	VCY	Testis-specific basic protein Y 1 (Basic charge, Y-linked 1) (Variably charged protein Y)	Poorly characterized / specialized	9084
Q9UID3	VPS51	Vacuolar protein sorting-associated protein 51 homolog; ; Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	738
Q9NP79	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog; ; Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	51534
B0UZZ8	WDR46		Poorly characterized / specialized	9277
O43379	WDR62	WD repeat-containing protein 62; ; WD repeat-containing protein 62	Poorly characterized / specialized	284403
P49750	YLPM1	YLP motif-containing protein 1; ; YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	Cytoplasmic / trafficking / cytoskeleton;Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	56252
Q9BYJ9	YTHDF1	YTH domain-containing family protein 1; ; YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	Poorly characterized / specialized;RNA-binding / RNP	54915
Q9UPT8	ZC3H4	Zinc finger CCCH domain-containing protein 4; ; Zinc finger CCCH domain-containing protein 4	Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	23211
Q96H79	ZC3HAV1L	Zinc finger CCCH-type antiviral protein 1-like; ; Zinc finger CCCH-type antiviral protein 1-like	Poorly characterized / specialized;RNA-binding / RNP	92092
Q9NUD5	ZCCHC3	Zinc finger CCHC domain-containing protein 3; ; Zinc finger CCHC domain-containing protein 3	Poorly characterized / specialized;RNA-binding / RNP	85364
C9JYJ4	ZDHHC13		Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Signaling / enzymes	54503
Q8IUH5	ZDHHC17	Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (DHHC17) (Huntingtin yeast partner H) (Huntingtin-interacting protein 14) (HIP-14) (Huntingtin-interacting protein 3) (HIP-3) (Huntingtin-interacting protein H) (Putative MAPK-activating protein PM11) (Putative NF-kappa-B-activating protein 205) (Zinc finger DHHC domain-containing protein 17)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	23390
O60293	ZFC3H1	Zinc finger C3H1 domain-containing protein; ; Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	Cytoplasmic / trafficking / cytoskeleton;DNA repair / genome maintenance;Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP	196441
O14771	ZNF213	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)	Chromatin / transcription;Poorly characterized / specialized	7760
Q96B54	ZNF428	Zinc finger protein 428; ; Zinc finger protein 428 (Enzyme-like protein PIT13)	Chromatin / transcription;Poorly characterized / specialized;Signaling / enzymes	126299
Q9UHR6	ZNHIT2	Zinc finger HIT domain-containing protein 2; ; Zinc finger HIT domain-containing protein 2 (Protein FON)	Poorly characterized / specialized	741
Q9NWK9	ZNHIT6	Box C/D snoRNA protein 1; ; Box C/D snoRNA protein 1 (Serologically defined breast cancer antigen NY-BR-75) (Zinc finger HIT domain-containing protein 6)	Poorly characterized / specialized;Translation / ribosome / biogenesis	54680
P0CG00	ZSCAN5D	Putative zinc finger and SCAN domain-containing protein 5D (Zinc finger and SCAN domain-containing protein 5D pseudogene)	Chromatin / transcription;Poorly characterized / specialized	NA
