canonical_UniProtAC	primary_symbol	protein_name	functional_class_broad	ENTREZID
O75969	AKAP3	A-kinase anchor protein 3; ; A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Signaling / enzymes	10566
Q9NP73	ALG13	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13; ; UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	79868
Q9H1A4	ANAPC1	Anaphase-promoting complex subunit 1; ; Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	Cell cycle / centrosome / spindle;Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP	64682
Q4UJ75	ANKRD20A4P	Putative ankyrin repeat domain-containing protein 20A4 (Ankyrin repeat domain-containing protein 20A4 pseudogene)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;RNA-binding / RNP	728747
Q5CZ79	ANKRD20A8P	Ankyrin repeat domain-containing protein 20B (Ankyrin repeat domain-containing protein 20A pseudogene)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;RNA-binding / RNP	729171
Q92527	ANKRD7	Ankyrin repeat domain-containing protein 7 (Testis-specific protein TSA806)	Poorly characterized / specialized	56311
P39687	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A; ; Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	Membrane / receptor / extracellular;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	8125
Q92688	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B; ; Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2) (PHAPI2) (Silver-stainable protein SSP29)	Membrane / receptor / extracellular;Poorly characterized / specialized;RNA-binding / RNP	10541
A6NMY6	ANXA2P2	Putative annexin A2-like protein; ; Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	Poorly characterized / specialized	304
P05067	APP	Amyloid-beta precursor protein precursor; ; Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	Membrane / receptor / extracellular;Poorly characterized / specialized;Signaling / enzymes	351
Q5TH69	ARFGEF3	Brefeldin A-inhibited guanine nucleotide-exchange protein 3; ; Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3)	Poorly characterized / specialized;RNA-binding / RNP	57221
O14497	ARID1A	AT-rich interactive domain-containing protein 1A; ; AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	Chromatin / transcription;Cytoplasmic / trafficking / cytoskeleton;DNA repair / genome maintenance;Poorly characterized / specialized;RNA-binding / RNP	8289
Q96B23	ARK2N	Protein ARK2N; ; Protein ARK2N (ARKadia-like protein 1) (Arkadia (RNF111) N-terminal like PKA signaling regulator protein 2N)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	147339
Q5T2E6	ARMH3	Armadillo-like helical domain-containing protein 3; ; Armadillo-like helical domain-containing protein 3	Poorly characterized / specialized;RNA-binding / RNP	79591
Q76L83	ASXL2	Putative Polycomb group protein ASXL2; ; Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2)	Chromatin / transcription;Poorly characterized / specialized	55252
Q96QE3	ATAD5	ATPase family AAA domain-containing protein 5; ; ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	Poorly characterized / specialized;Signaling / enzymes	79915
Q5SQI0	ATAT1	Alpha-tubulin N-acetyltransferase 1; ; Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	Chromatin / transcription;Poorly characterized / specialized;Signaling / enzymes	79969
O75787	ATP6AP2	Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (ER-localized type I transmembrane adapter) (Embryonic liver differentiation factor 10) (N14F) (Renin/prorenin receptor) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (ATP6M8-9) (V-ATPase M8.9 subunit) [Cleaved into: Renin receptor N-terminal fragment; Renin receptor C-terminal fragment]	Cytoplasmic / trafficking / cytoskeleton;Membrane / receptor / extracellular;Mitochondrial / metabolism;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	10159
Q9NWV8	BABAM1	BRISC and BRCA1-A complex member 1; ; BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)	Chromatin / transcription;DNA repair / genome maintenance;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	29086
Q8IYS8	BOD1L2	Biorientation of chromosomes in cell division protein 1-like 2 (Biorientation of chromosomes in cell division protein 1 pseudogene) (Protein FAM44C)	Poorly characterized / specialized	284257
Q9H3K6	BOLA2	BolA-like protein 2; ; BolA-like protein 2	Cell cycle / centrosome / spindle;Chromatin / transcription;Cytoplasmic / trafficking / cytoskeleton;DNA repair / genome maintenance;Membrane / receptor / extracellular;Mitochondrial / metabolism;Nuclear scaffold / pore / lamina;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;RNA-binding / RNP;Signaling / enzymes;Translation / ribosome / biogenesis	552900
Q96GS4	BORCS6	BLOC-1-related complex subunit 6; ; BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	54785
Q8WUW1	BRK1	Protein BRICK1; ; Protein BRICK1 (BRK1)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	55845
Q8IWQ3	BRSK2	Serine/threonine-protein kinase BRSK2; ; Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	Poorly characterized / specialized;Signaling / enzymes	9024
Q9H0C5	BTBD1	BTB/POZ domain-containing protein 1; ; BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8)	Poorly characterized / specialized	53339
Q8IYJ2	C10orf67	Uncharacterized protein C10orf67, mitochondrial	Mitochondrial / metabolism;Poorly characterized / specialized	256815
Q9H0W9	C11orf54	Ester hydrolase C11orf54; ; Beta-keto L-gulonate decarboxylase (BKGD) (EC 4.1.1.34)	Poorly characterized / specialized;Signaling / enzymes	NA
Q9H3H3	C11orf68	UPF0696 protein C11orf68; ; UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	Poorly characterized / specialized;RNA-binding / RNP;Translation / ribosome / biogenesis	83638
C9JLR9	C11orf95	Zinc finger translocation-associated protein (ZFTA)	Poorly characterized / specialized	NA
Q6ZRI6	C15orf39	Uncharacterized protein C15orf39; ; Uncharacterized protein C15orf39	Poorly characterized / specialized	56905
Q8WTQ4	C16orf78	Uncharacterized protein C16orf78	Poorly characterized / specialized	123970
A8MU93	C17orf100	Uncharacterized protein C17orf100	Poorly characterized / specialized	388327
A2RUQ5	C17orf102	Uncharacterized protein TMEM132E-DT (TMEM132E divergent transcript)	Poorly characterized / specialized	NA
Q86XI8	C19orf68	Uncharacterized protein ZSWIM9	Poorly characterized / specialized	NA
A6NCJ1	C19orf71	Tektin bundle-interacting protein 1	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	NA
Q9H425	C1orf198	Uncharacterized protein C1orf198; ; Uncharacterized protein C1orf198	Poorly characterized / specialized	84886
Q9NWW7	C2orf42	Uncharacterized protein C2orf42	Poorly characterized / specialized	54980
Q2NKX9	C2orf68	UPF0561 protein C2orf68	Poorly characterized / specialized	388969
A0A1B0GVN3	C2ORF92	Uncharacterized protein C2orf92 (Long intergenic non-protein coding RNA 1125)	Poorly characterized / specialized	NA
Q5JPI3	C3orf38	Uncharacterized protein C3orf38; ; Uncharacterized protein C3orf38	Poorly characterized / specialized	285237
Q8WVX3	C4orf3	Uncharacterized protein C4orf3; ; Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator ARLN (SERCA regulator ARLN) (Allregulin) (Another-regulin) (ALN) (Hepatitis C virus F protein-transactivated protein 1) (HCV F-transactivated protein 1)	Poorly characterized / specialized;Signaling / enzymes	NA
D6RIA3	C4orf54	Uncharacterized protein C4orf54 (Familial obliterative portal venopathy)	Poorly characterized / specialized;Translation / ribosome / biogenesis	285556
Q7Z6I8	C5orf24	UPF0461 protein C5orf24; ; UPF0461 protein C5orf24	Poorly characterized / specialized	134553
Q5T0Z8	C6orf132	Uncharacterized protein C6orf132; ; Uncharacterized protein C6orf132	Poorly characterized / specialized	647024
Q96KF7	C6orf162	Small integral membrane protein 8	Membrane / receptor / extracellular;Poorly characterized / specialized	NA
O95873	C6orf47	Uncharacterized protein C6orf47; ; Uncharacterized protein C6orf47 (Protein G4)	Poorly characterized / specialized	57827
Q8NI28	C7orf13	Putative transmembrane protein RNF32-DT (RNF32 divergent transcript)	Membrane / receptor / extracellular;Poorly characterized / specialized	NA
Q9GZY4	C7orf44	Cytochrome c oxidase assembly factor 1 homolog (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 15 kDa)	Mitochondrial / metabolism;Poorly characterized / specialized;Translation / ribosome / biogenesis	NA
Q9H7E9	C8orf33	UPF0488 protein C8orf33; ; UPF0488 protein C8orf33	Poorly characterized / specialized	65265
Q8N9P6	C9orf163	Uncharacterized protein C9orf163	Poorly characterized / specialized	158055
Q9NZ63	C9orf78	Splicing factor C9orf78; ; Splicing factor C9orf78 (Hepatocellular carcinoma-associated antigen 59)	Poorly characterized / specialized;RNA-binding / RNP	51759
Q9BTV7	CABLES2	CDK5 and ABL1 enzyme substrate 2; ; CDK5 and ABL1 enzyme substrate 2 (Interactor with CDK3 2) (Ik3-2)	Poorly characterized / specialized;Signaling / enzymes	81928
Q86Y37	CACUL1	CDK2-associated and cullin domain-containing protein 1; ; CDK2-associated and cullin domain-containing protein 1 (Cdk-associated cullin 1)	Poorly characterized / specialized	143384
Q86V15	CASZ1	Zinc finger protein castor homolog 1; ; Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	Chromatin / transcription;Poorly characterized / specialized	54897
Q6P1N0	CC2D1A	Coiled-coil and C2 domain-containing protein 1A; ; Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Signaling / enzymes	54862
Q7Z3E2	CCDC186	Coiled-coil domain-containing protein 186; ; Coiled-coil domain-containing protein 186 (CTCL tumor antigen HD-CL-01/L14-2)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	55088
Q6ZUT6	CCDC9B	Coiled-coil domain-containing protein 9B; ; Coiled-coil domain-containing protein 9B	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	388115
Q92526	CCT6B	Probable T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (EC 3.6.1.-) (CCT-zeta-2) (CCT-zeta-like) (Chaperonin containing T-complex polypeptide 1 subunit 6B) (TCP-1-zeta-like) (Testis-specific Tcp20) (Testis-specific protein TSA303)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	10693
P50990	CCT8	T-complex protein 1 subunit theta; ; T-complex protein 1 subunit theta (TCP-1-theta) (EC 3.6.1.-) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	10694
Q6P1J9	CDC73	Parafibromin; ; Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	Chromatin / transcription;Poorly characterized / specialized	79577
A0A0U1RRI6	CENPVP3	Centromere protein V-like protein 3 (Centromere protein V pseudogene 3)	Cell cycle / centrosome / spindle;Poorly characterized / specialized	NA
Q6ZU80	CEP128	Centrosomal protein of 128 kDa; ; Centrosomal protein 128 (Cep128) (Centrosomal protein of 128 kDa)	Cell cycle / centrosome / spindle;Poorly characterized / specialized	145508
Q5JTW2	CEP78	Centrosomal protein of 78 kDa; ; Centrosomal protein of 78 kDa (Cep78)	Cell cycle / centrosome / spindle;Poorly characterized / specialized	84131
Q5SZL2	CEP85L	Centrosomal protein of 85 kDa-like; ; Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15)	Cell cycle / centrosome / spindle;Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	387119
Q9Y6A4	CFAP20	Cilia- and flagella-associated protein 20; ; Cilia- and flagella-associated protein 20 (Basal body up-regulated protein 22) (Transcription factor IIB)	Chromatin / transcription;Poorly characterized / specialized	29105
Q0VFZ6	CFAP210	Cilia- and flagella- associated protein 210; ; Cilia- and flagella- associated protein 210 (Coiled-coil domain-containing protein 173)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	129881
P57076	CFAP298	Cilia- and flagella-associated protein 298; ; Cilia- and flagella-associated protein 298 (Protein kurly homolog)	Poorly characterized / specialized	56683
Q96JM3	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1; ; Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	Cell cycle / centrosome / spindle;Chromatin / transcription;Poorly characterized / specialized	283489
Q96BP2	CHCHD1	Small ribosomal subunit protein mS37; ; Small ribosomal subunit protein mS37 (28S ribosomal protein S37, mitochondrial) (MRP-S37) (Coiled-coil-helix-coiled-coil-helix domain-containing protein 1) (Nuclear protein C2360)	Cytoplasmic / trafficking / cytoskeleton;Mitochondrial / metabolism;Poorly characterized / specialized;Translation / ribosome / biogenesis	118487
Q9Y6H1	CHCHD2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2; ; Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	51142
Q9NZZ3	CHMP5	Charged multivesicular body protein 5; ; Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60) (Vps60) (hVps60)	Chromatin / transcription;Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone	51510
Q8WVB6	CHTF18	Chromosome transmission fidelity protein 18 homolog; ; Chromosome transmission fidelity protein 18 homolog (hCTF18) (CHL12)	Poorly characterized / specialized	63922
Q9Y3Y2	CHTOP	Chromatin target of PRMT1 protein; ; Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein) (SRAG)	Chromatin / transcription;Poorly characterized / specialized;RNA-binding / RNP	26097
Q9NRP2	CMC2	COX assembly mitochondrial protein 2 homolog; ; COX assembly mitochondrial protein 2 homolog	Mitochondrial / metabolism;Poorly characterized / specialized	56942
Q9BQ75	CMSS1	Protein CMSS1; ; Protein CMSS1 (Cms1 ribosomal small subunit homolog)	Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	84319
Q8N9A8	CNEP1R1	Nuclear envelope phosphatase-regulatory subunit 1; ; Nuclear envelope phosphatase-regulatory subunit 1 (NEP1-R1) (Transmembrane protein 188)	Membrane / receptor / extracellular;Poorly characterized / specialized;Signaling / enzymes	255919
Q9UKZ1	CNOT11	CCR4-NOT transcription complex subunit 11; ; CCR4-NOT transcription complex subunit 11	Chromatin / transcription;Poorly characterized / specialized	55571
Q9Y2B0	CNPY2	Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein Zsig9) (Transmembrane protein 4)	Cytoplasmic / trafficking / cytoskeleton;Membrane / receptor / extracellular;Poorly characterized / specialized;Translation / ribosome / biogenesis	10330
Q9NXG0	CNTLN	Centlein; ; Centlein (Centrosomal protein)	Cell cycle / centrosome / spindle;Poorly characterized / specialized	54875
Q96BR5	COA7	Cytochrome c oxidase assembly factor 7; ; Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)	Mitochondrial / metabolism;Poorly characterized / specialized	65260
Q9NQ92	COPRS	Coordinator of PRMT5 and differentiation stimulator; ; Coordinator of PRMT5 and differentiation stimulator (Cooperator of PRMT5) (Protein TTP1)	Chromatin / transcription;Poorly characterized / specialized	55352
Q6NV74	CRACDL	CRACD-like protein; ; CRACD-like protein	Poorly characterized / specialized	343990
Q8NEV1	CSNK2A3	Casein kinase II subunit alpha 3; ; Casein kinase II subunit alpha 3 (CK II alpha 3) (EC 2.7.11.1) (Casein kinase II alpha 1 polypeptide pseudogene)	Poorly characterized / specialized;Signaling / enzymes	283106
O75638	CTAG2	Cancer/testis antigen 2 (CT2) (Autoimmunogenic cancer/testis antigen NY-ESO-2) (Cancer/testis antigen 6.2) (CT6.2) (L antigen family member 1) (LAGE-1)	Poorly characterized / specialized	30848
Q8WYA6	CTNNBL1	Beta-catenin-like protein 1; ; Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	Poorly characterized / specialized;RNA-binding / RNP	56259
Q8WZ74	CTTNBP2	Cortactin-binding protein 2; ; Cortactin-binding protein 2 (CortBP2)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	83992
Q9P013	CWC15	Spliceosome-associated protein CWC15 homolog; ; Spliceosome-associated protein CWC15 homolog	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;RNA-binding / RNP	51503
Q9NWV4	CZIB	CXXC motif containing zinc binding protein; ; CXXC motif containing zinc binding protein (UPF0587 protein C1orf123)	Poorly characterized / specialized	54987
Q9BTK2	DANT2	Putative uncharacterized protein LOC642776	Poorly characterized / specialized	642776
Q96HY6	DDRGK1	DDRGK domain-containing protein 1 precursor; ; DDRGK domain-containing protein 1 (Dashurin) (UFM1-binding and PCI domain-containing protein 1)	Poorly characterized / specialized	65992
A6NHG4	DDTL	Putative D-dopachrome decarboxylase-like protein (EC 4.1.1.-) (D-dopachrome tautomerase-like protein)	Poorly characterized / specialized	100037417
Q9NXZ2	DDX43	Probable ATP-dependent RNA helicase DDX43 (EC 3.6.4.13) (Cancer/testis antigen 13) (CT13) (DEAD box protein 43) (DEAD box protein HAGE) (Helical antigen)	Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	55510
Q5VZ89	DENND4C	DENN domain-containing protein 4C; ; DENN domain-containing protein 4C	Cytoplasmic / trafficking / cytoskeleton;DNA repair / genome maintenance;Poorly characterized / specialized	55667
O00273	DFFA	DNA fragmentation factor subunit alpha; ; DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	Poorly characterized / specialized	1676
Q6P158	DHX57	Putative ATP-dependent RNA helicase DHX57; ; Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;RNA-binding / RNP;Signaling / enzymes	90957
Q9BTC0	DIDO1	Death-inducer obliterator 1; ; Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1)	Chromatin / transcription;Poorly characterized / specialized;Translation / ribosome / biogenesis	11083
E9PER1	DIP2A		Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	23181
A7MBM2	DISP2	Protein dispatched homolog 2; ; Protein dispatched homolog 2	Poorly characterized / specialized	85455
Q8IYS4	DNAAF8	Dynein axonemal assembly factor 8; ; Dynein axonemal assembly factor 8 (Dynein axonemal-associated protein 1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	146562
O75061	DNAJC6	Putative tyrosine-protein phosphatase auxilin; ; Auxilin (EC 3.1.3.-) (DnaJ homolog subfamily C member 6)	Poorly characterized / specialized;Proteostasis / ubiquitin / chaperone;Signaling / enzymes	9829
O43598	DNPH1	5-hydroxymethyl-dUMP N-hydrolase; ; 5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)	Poorly characterized / specialized	10591
Q9H147	DNTTIP1	Deoxynucleotidyltransferase terminal-interacting protein 1; ; Deoxynucleotidyltransferase terminal-interacting protein 1 (Terminal deoxynucleotidyltransferase-interacting factor 1) (TdIF1) (TdT-interacting factor 1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized;Signaling / enzymes	116092
Q5T8R8	DOCK8-AS1	Uncharacterized protein DOCK8-AS1 (DOCK8 antisense RNA 1)	Cytoplasmic / trafficking / cytoskeleton;Poorly characterized / specialized	157983
Q9NYP3	DONSON	Protein downstream neighbor of Son; ; Protein downstream neighbor of Son (B17)	DNA repair / genome maintenance;Poorly characterized / specialized	29980
Q9H410	DSN1	Kinetochore-associated protein DSN1 homolog; ; Kinetochore-associated protein DSN1 homolog	Cell cycle / centrosome / spindle;Poorly characterized / specialized	79980
Q8TEA8	DTD1	D-aminoacyl-tRNA deacylase 1; ; D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related)	Poorly characterized / specialized;Translation / ribosome / biogenesis	92675
Q9NVP4	DZANK1	Double zinc ribbon and ankyrin repeat-containing protein 1; ; Double zinc ribbon and ankyrin repeat-containing protein 1	Poorly characterized / specialized;RNA-binding / RNP	55184
Q3B7T1	EDRF1	Erythroid differentiation-related factor 1; ; Erythroid differentiation-related factor 1	Nuclear scaffold / pore / lamina;Poorly characterized / specialized;RNA-binding / RNP	26098
Q5VTE0	EEF1A1P5	Putative elongation factor 1-alpha-like 3; ; Putative elongation factor 1-alpha-like 3 (EF-1-alpha-like 3) (Eukaryotic elongation factor 1 A-like 3) (eEF1A-like 3) (Eukaryotic translation elongation factor 1 alpha-1 pseudogene 5)	Chromatin / transcription;Poorly characterized / specialized;Signaling / enzymes;Translation / ribosome / biogenesis	158078
Q96KQ7	EHMT2	Histone-lysine N-methyltransferase EHMT2; ; Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	Chromatin / transcription;Membrane / receptor / extracellular;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	10919
A2ABF9	EHMT2		Chromatin / transcription;Poorly characterized / specialized;RNA-binding / RNP;Signaling / enzymes	10919
Q5UCC4	EMC10	ER membrane protein complex subunit 10 precursor; ; ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	Membrane / receptor / extracellular;Poorly characterized / specialized	284361
O43402	EMC8	ER membrane protein complex subunit 8; ; ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B)	Membrane / receptor / extracellular;Poorly characterized / specialized	10328
B5MBZ0	EML4		Cytoplasmic / trafficking / cytoskeleton;Mitochondrial / metabolism;Poorly characterized / specialized;RNA-binding / RNP;Translation / ribosome / biogenesis	27436
Q9HC35	EML4	Echinoderm microtubule-associated protein-like 4; ; Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	Cytoplasmic / trafficking / cytoskeleton;Mitochondrial / metabolism;Poorly characterized / specialized;RNA-binding / RNP;Translation / ribosome / biogenesis	27436
Q6ZTU2	EP400NL	Putative chromatin regulator EP400P1 (EP400 N-terminal-like) (EP400 pseudogene 1) (Putative EP400-like protein)	Chromatin / transcription;Poorly characterized / specialized	NA
A6NHQ4	EPOP	Elongin BC and Polycomb repressive complex 2-associated protein; ; Elongin BC and Polycomb repressive complex 2-associated protein (Proline-rich protein 28)	Poorly characterized / specialized	100170841
Q96DZ1	ERLEC1	Endoplasmic reticulum lectin 1 precursor; ; Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein)	Poorly characterized / specialized	27248
Q5T6L9	ERMARD	Endoplasmic reticulum membrane-associated RNA degradation protein; ; Endoplasmic reticulum membrane-associated RNA degradation protein (ER membrane-associated RNA degradation protein)	DNA repair / genome maintenance;Membrane / receptor / extracellular;Poorly characterized / specialized	55780
P30040	ERP29	Endoplasmic reticulum resident protein 29 precursor; ; Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31)	Poorly characterized / specialized	10961
Q9H501	ESF1	ESF1 homolog; ; ESF1 homolog (ABT1-associated protein)	Poorly characterized / specialized	51575
Q6NZ36	FAAP20	Fanconi anemia core complex-associated protein 20; ; Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	DNA repair / genome maintenance;Poorly characterized / specialized	199990
Q9H098	FAM107B	Protein FAM107B; ; Protein FAM107B	Poorly characterized / specialized	83641
Q9NZB2	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1; ; Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated SRC activator) (Protein FAM120A)	Chromatin / transcription;Poorly characterized / specialized;RNA-binding / RNP	23196
A0A1W2PQP7	FAM131A	Family with sequence similarity 131 member A;	Poorly characterized / specialized	131408
Q8N8J7	FAM241A	Uncharacterized protein FAM241A; ; Uncharacterized protein FAM241A	Poorly characterized / specialized	132720
