ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	ONTOLOGY
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	54/4396	211/17552	0.255924170616114	1.0218337221688	0.184437735246324	0.453298804346803	0.882548857662758	0.699895729795129	AKR1C2/AKR1C3/AMBRA1/APP/ARFGEF1/AXL/BAG4/BECN1/CAT/CBL/CPNE1/DDR2/EGFR/EP300/EPHA8/FAM110C/FERMT2/FGF2/GATA3/GPX1/HAX1/HCLS1/HIP1/IGF1R/IGF2/INSR/IRS1/IRS2/ITGB1/MAZ/MERTK/MTDH/MTOR/MYDGF/MYOC/NEDD4/NRXN1/PARK7/PHB1/PLXNB1/PRKCA/PRR5/PTK2/PTPN11/PTPN6/RAC1/RICTOR/RPS6KB1/RYK/SESN2/TCF7L2/THBS1/UBE3A/VAV1	54	BP
GO:0000266	mitochondrial fission	11/4396	41/17552	0.268292682926829	1.07121773674516	0.263901868329446	0.454887820027436	0.885117917583005	0.70193309469811	AP3B1/BNIP3/CYRIB/DDHD1/DNM1L/INF2/MIEF1/MTFP1/OPA1/SLC25A46/VPS35	11	BP
GO:0045616	regulation of keratinocyte differentiation	11/4396	41/17552	0.268292682926829	1.07121773674516	0.263901868329446	0.454887820027436	0.885117917583005	0.70193309469811	ERRFI1/FOXC1/HOXA7/MACROH2A1/MACROH2A2/NCOA3/NME2/NOTCH1/NUMA1/SRSF6/ZFP36L1	11	BP
GO:0009116	nucleoside metabolic process	12/4396	45/17552	0.266666666666667	1.06472550803761	0.251300701861358	0.457177222344708	0.888519873840943	0.704630978942373	APRT/DNPH1/DTYMK/ERH/HPRT1/MACROD1/MTAP/NUDT1/PGM2/PNP/QNG1/TK1	12	BP
GO:0010828	positive regulation of D-glucose transmembrane transport	12/4396	45/17552	0.266666666666667	1.06472550803761	0.251300701861358	0.457177222344708	0.888519873840943	0.704630978942373	ARPP19/BRAF/CAPN10/CREBL2/INSR/IRS1/IRS2/MAPK14/NFE2L2/NR4A3/PIK3R1/PTPN11	12	BP
GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	12/4396	45/17552	0.266666666666667	1.06472550803761	0.251300701861358	0.457177222344708	0.888519873840943	0.704630978942373	ACAA2/ATP5IF1/BAX/BNIP3/GCLC/GSK3A/HSPA1A/SLC25A4/SLC25A5/SLC25A6/STPG1/TP53	12	BP
GO:1905710	positive regulation of membrane permeability	12/4396	45/17552	0.266666666666667	1.06472550803761	0.251300701861358	0.457177222344708	0.888519873840943	0.704630978942373	ACAA2/ATP5IF1/BAX/BNIP3/GCLC/GSK3A/HSPA1A/SLC25A4/SLC25A5/SLC25A6/STPG1/TP53	12	BP
GO:0014902	myotube differentiation	34/4396	132/17552	0.257575757575758	1.02842804753633	0.189508094943498	0.458157219311989	0.890161127968192	0.705932557597421	ACTA1/ACTN3/ADAM12/BCL9/CAPN2/CFLAR/DCAF8/DMPK/DOCK1/DOCK2/DOCK5/EHD2/FLOT1/GPX1/ITGB1/MAML1/MAPK14/MEF2C/MTOR/MYEF2/MYH9/MYOCD/NFATC2/NKX2-5/NOTCH1/PLD3/PLEC/PPP3CA/PTGFRN/RBM24/RBM38/RYR1/SIX4/SORT1	34	BP
GO:0007520	myoblast fusion	13/4396	49/17552	0.26530612244898	1.05929323503742	0.240250766702229	0.4591923588772	0.890854874620298	0.706482725800747	ADAM12/CAPN2/CFLAR/DOCK1/DOCK2/DOCK5/EHD2/FLOT1/ITGB1/MAPK14/MYH9/NFATC2/PTGFRN	13	BP
GO:0019098	reproductive behavior	13/4396	49/17552	0.26530612244898	1.05929323503742	0.240250766702229	0.4591923588772	0.890854874620298	0.706482725800747	APP/BRINP1/HDAC2/HEXB/MAPK8IP2/MBD2/NCOA1/NPAS1/NR3C1/PPP1R1B/PPP1R9B/SERPINE2/UBE2Q1	13	BP
GO:0042304	regulation of fatty acid biosynthetic process	13/4396	49/17552	0.26530612244898	1.05929323503742	0.240250766702229	0.4591923588772	0.890854874620298	0.706482725800747	ACADVL/ANGPTL4/DCAF5/EIF6/FABP5/KLHL25/NME1/NR1H2/PIBF1/PLAA/PTGS2/SIRT2/UBR4	13	BP
GO:0045622	regulation of T-helper cell differentiation	13/4396	49/17552	0.26530612244898	1.05929323503742	0.240250766702229	0.4591923588772	0.890854874620298	0.706482725800747	ANXA1/BRD2/BRD4/EP300/GATA3/IL27/IRF4/OPA1/RC3H1/RC3H2/RIPK2/STAT5A/ZBTB7B	13	BP
GO:0060443	mammary gland morphogenesis	13/4396	49/17552	0.26530612244898	1.05929323503742	0.240250766702229	0.4591923588772	0.890854874620298	0.706482725800747	AR/BAX/CAPN1/CDKN2A/EPHA2/ESR1/GLI3/NR3C1/PHB2/PML/PTCH1/SCRIB/TBX3	13	BP
GO:0002832	negative regulation of response to biotic stimulus	36/4396	140/17552	0.257142857142857	1.02669959703627	0.18334211543014	0.459642040360077	0.891463998560775	0.706965784887114	A2M/ADAR/AHR/ARG1/AURKB/BANF1/CRK/DDX39A/DNAJA3/EIF4E2/GIGYF2/GRB2/HLA-A/HLA-B/INPP5D/LGALS9/MAPK3/METTL3/MTOR/NFKBIL1/NR1H2/OAS3/PARP1/PCBP2/PRDX2/PTPN6/RANBP2/RPS19/SERPING1/UFL1/USP15/USP38/YTHDF2/YTHDF3/YWHAG/YWHAZ	36	BP
GO:0003002	regionalization	111/4396	438/17552	0.253424657534247	1.01185386465903	0.145224235329545	0.46091387898818	0.893541634992389	0.708613431761196	ACD/ALDH1A2/ALX1/ALX4/ANKS6/AP1B1/AR/ATM/ATP6AP2/AXIN1/BBS7/BHLHE40/BMI1/BMPR1B/BPTF/C2CD3/CAPRIN2/CC2D2A/CITED2/CLUAP1/COBL/CRKL/CTNNB1/DMRT3/DNAAF3/DNAH5/DVL1/DVL2/DYNC2H1/EGR2/EN1/EOMES/EP300/EXT1/FGF2/FOXC1/FOXC2/GLI1/GLI2/GLI3/GRSF1/HEYL/HIPK1/HIPK2/HOXA10/HOXA4/HOXA5/HOXA6/HOXA7/HOXB4/HOXB5/HOXB6/HOXB7/HOXB9/HOXC13/HOXC4/HOXC5/HOXC6/HOXD11/HOXD4/IFT172/IFT74/KDM2B/KIF3B/KMT2A/LAMA5/LDB1/LEF1/LHX3/LRP4/MED12/MEF2C/MEGF8/MESP1/MOSMO/MTF2/NCKAP1/NDRG4/NKD1/NKX2-1/NKX2-5/NME7/NOMO3/NOTCH1/NOTCH2/NPHP3/NRARP/NRP2/PAX2/PBX2/PKD2/POFUT1/POU5F1/PRKDC/PTCH1/RING1/RNF220/ROBO1/SMAD6/SMARCD3/SRF/SSBP3/TAF10/TBX3/TDRKH/TLL2/TP53/TRA2B/TULP3/WT1/YY1	111	BP
GO:0034331	cell junction maintenance	14/4396	53/17552	0.264150943396226	1.0546809277731	0.230454417008911	0.460985325162004	0.893541634992389	0.708613431761196	BSN/CAMSAP3/DCTN1/ERC1/ERC2/FERMT2/INAVA/KIFC3/KIRREL1/PLEKHA7/RIMS2/SDF4/SHANK1/SORT1	14	BP
GO:0007224	smoothened signaling pathway	40/4396	156/17552	0.256410256410256	1.02377452695924	0.172411935316727	0.462285746059519	0.895533785274249	0.710193284778146	ARL3/BBS7/C2CD3/CC2D2A/CLUAP1/CREBBP/CTNNA1/DISP2/DYNC2H1/DYRK2/ENPP1/EXT1/GLI1/GLI2/GLI3/HIPK1/HIPK2/HSPG2/IFT172/IFT56/IFT81/KIF7/MAP3K10/MEGF8/MOSMO/NCOA2/NKX6-1/PTCH1/RAB34/RACK1/RB1/RO60/RUNX2/SEPTIN2/SERPINE2/TEDC2/TMEM17/TULP3/UBR5/VCP	40	BP
GO:0042552	myelination	40/4396	156/17552	0.256410256410256	1.02377452695924	0.172411935316727	0.462285746059519	0.895533785274249	0.710193284778146	AFG3L2/ANK2/ATRN/CDK18/CTNNB1/CXCR4/EGR2/EIF2B4/FIG4/GRB2/HEXB/HYCC1/ID4/ILK/KIF14/MAG/MAP2K1/MAPK1/MAPK3/MBP/MIOS/MTOR/MYOC/NCSTN/NF1/NSUN5/PARD3/PLEC/PRX/QKI/RAF1/SH3TC2/SIRT2/SLC25A46/SOD1/SOS1/TMEM163/TSC1/ZNF24/ZNF488	40	BP
GO:0071870	cellular response to catecholamine stimulus	16/4396	61/17552	0.262295081967213	1.0472709915124	0.213781515738619	0.46405236896549	0.898691041195254	0.712697112093535	APP/DRD4/FLNA/GNA11/GNAS/GNB1/GSK3A/HDAC2/HTR3B/KLF16/NCSTN/NHERF1/NR4A3/PALM/PRMT5/VPS35	16	BP
GO:0001947	heart looping	17/4396	65/17552	0.261538461538462	1.04425001749843	0.20659999784621	0.465380119436327	0.899935827076017	0.71368427593709	BBS7/C2CD3/CITED2/CLUAP1/DVL1/DVL2/IFT172/MEF2C/MESP1/NDRG4/NKX2-5/NOTCH1/NOTCH2/NPHP3/PKD2/SRF/TBX3	17	BP
GO:0022029	telencephalon cell migration	17/4396	65/17552	0.261538461538462	1.04425001749843	0.20659999784621	0.465380119436327	0.899935827076017	0.71368427593709	ARX/CTNNB1/CUL5/DAB2IP/DISC1/DIXDC1/EGFR/GLI3/LAMB1/NKX2-1/PAFAH1B1/RAC1/RHOA/ROBO1/SRF/SYNE2/ZMIZ1	17	BP
GO:0032623	interleukin-2 production	17/4396	65/17552	0.261538461538462	1.04425001749843	0.20659999784621	0.465380119436327	0.899935827076017	0.71368427593709	ANXA1/EZR/GATA3/HDAC7/HOMER3/IRF4/NAV3/PDE4D/PLCG2/PNP/RIPK2/RPS3/RUNX1/SPTBN1/STAT5A/STAT5B/STOML2	17	BP
GO:0032663	regulation of interleukin-2 production	17/4396	65/17552	0.261538461538462	1.04425001749843	0.20659999784621	0.465380119436327	0.899935827076017	0.71368427593709	ANXA1/EZR/GATA3/HDAC7/HOMER3/IRF4/NAV3/PDE4D/PLCG2/PNP/RIPK2/RPS3/RUNX1/SPTBN1/STAT5A/STAT5B/STOML2	17	BP
GO:0071867	response to monoamine	17/4396	65/17552	0.261538461538462	1.04425001749843	0.20659999784621	0.465380119436327	0.899935827076017	0.71368427593709	APP/DRD4/FLNA/GNA11/GNAS/GNB1/GSK3A/HDAC2/HTR3B/KLF16/MBD2/NCSTN/NHERF1/NR4A3/PALM/PRMT5/VPS35	17	BP
GO:0007219	Notch signaling pathway	47/4396	184/17552	0.255434782608696	1.0198797325632	0.156697615046842	0.466115704146837	0.901093013696459	0.714601970144263	AAK1/ANXA4/APP/BEND6/BMP2K/CDKN1B/CTBP1/DTX2/EPN1/EPN2/FOXC1/FOXC2/GATA2/GMDS/GOT1/GRIP2/HEYL/HIF1AN/IFT172/IFT74/KRT19/MAML1/MAML2/MAML3/MECP2/MESP1/METTL3/NCSTN/NKAP/NOTCH1/NOTCH2/NOTCH3/NR0B2/NRARP/PDCD10/PGAM2/POFUT1/RBM15/RITA1/ROBO1/SPEN/STAT3/SUSD5/WDR12/YAP1/YTHDF2/ZMIZ1	47	BP
GO:0016445	somatic diversification of immunoglobulins	18/4396	69/17552	0.260869565217391	1.04157930134114	0.200037582220459	0.466597300504022	0.901758654607509	0.715129849396697	ATAD5/CTNNBL1/EXOSC6/HSPD1/LIG4/MCM3AP/MSH2/MSH3/MSH6/POLB/PRKDC/RIF1/SUPT6H/TCF3/TFRC/TP53BP1/UNG/YY1	18	BP
GO:0007565	female pregnancy	49/4396	192/17552	0.255208333333333	1.01897558386412	0.152823008206381	0.467065924088629	0.902398839805354	0.715637541273877	A1CF/AR/ASH1L/CAD/CALR/CAPN2/CBS/CITED2/DAZAP1/DCAF13/DSG2/EPN1/ERRFI1/ESR1/FBLN1/FBN2/FKBP4/GJA1/GNAS/H3-3A/HMX3/HSPG2/IGFBP7/INTS1/ITGA2/KPNA6/LAMB1/LGALS9/LNPEP/MAGED2/PARP1/POLR1B/PRDM1/PRDX3/PTGS2/PZP/RPL29/RXRB/SMURF2/SOD1/SP3/STAT5A/STAT5B/STC2/STOX2/SYDE1/TRIM28/UBE2Q1/YTHDF3	49	BP
GO:0050863	regulation of T cell activation	101/4396	399/17552	0.2531328320802	1.01068868714096	0.124841394747727	0.469853177581986	0.902985609677745	0.716102872710764	ABL2/ACTB/ACTL6B/AMBRA1/ANXA1/AP3B1/AP3D1/ARG1/ARID1A/ARID1B/BAD/BMI1/BRAF/BRD2/BRD4/BRD7/CBFB/CBLB/CCDC88B/CDKN2A/CEBPB/CTNNB1/CYRIB/DHPS/DNAJA3/DROSHA/EP300/FADD/FANCA/FLOT2/GATA3/GLI2/GLI3/GPAM/GRB2/HLA-A/HMGB1/HSPD1/HSPH1/IGF2/IL27/ILDR2/IRF4/ITPKB/KLHL25/LAX1/LEF1/LGALS9/LGALS9B/MAPK3/MAPK8IP1/MARCHF7/METTL3/MTOR/NKAP/NRARP/OPA1/PBRM1/PNP/PPP3CA/PRDM1/PRDX2/PRKAR1A/PTPN11/PTPN6/RAC2/RC3H1/RC3H2/RHOA/RIPK2/RIPK3/RPS3/RUNX1/RUNX3/SART1/SCRIB/SLC4A2/SLC7A1/SMARCA2/SMARCA4/SMARCC1/SMARCC2/SMARCD1/SMARCD2/SMARCD3/SMARCE1/SOD1/SOS1/SOS2/SOX12/STAT5A/STAT5B/SYK/TCF7/TFRC/TYK2/UFL1/VAV1/YWHAG/ZBTB7B/ZMIZ1	101	BP
GO:0002696	positive regulation of leukocyte activation	95/4396	375/17552	0.253333333333333	1.01148923263573	0.130002241896698	0.468394068723593	0.902985609677745	0.716102872710764	ABL2/ACTB/ACTL6B/AMBRA1/ANXA1/AP3B1/AP3D1/ARID1A/ARID1B/ATAD5/AXL/BAD/BLOC1S3/BMI1/BRD2/BRD4/BRD7/BST1/CBFB/CCDC88B/CDKN1A/CYRIB/DDRGK1/DHPS/DNAJA3/EP300/EXOSC6/FADD/FLOT2/GATA3/GLI2/GLI3/GPAM/GRB2/HLA-A/HMGB1/HSPD1/HSPH1/IGF2/IL16/INPP5D/IRS2/ITPKB/KARS1/KLHL25/LEF1/LGALS9/MEF2C/MIF/MSH2/MTOR/NFATC2/NKAP/NR4A3/OPA1/PBRM1/PLPP6/PNP/PPP3CA/PRKDC/PTPN11/PTPN6/RHOA/RIF1/RIPK2/RPL13A/RPS3/RUNX1/RUNX3/SART1/SLC39A10/SLC7A1/SMARCA2/SMARCA4/SMARCC1/SMARCC2/SMARCD1/SMARCD2/SMARCD3/SMARCE1/SOX12/STAT5A/STAT5B/SYK/TCF3/TFRC/THBS1/TP53BP1/TYK2/UFL1/VAV1/XRCC6/YWHAG/ZBTB7B/ZMIZ1	95	BP
GO:0062012	regulation of small molecule metabolic process	86/4396	340/17552	0.252941176470588	1.00992345982979	0.106808237451885	0.478586131927274	0.902985609677745	0.716102872710764	ACADM/ACADVL/ACTN3/AKR1C3/AMDHD2/ANGPTL4/APOB/APP/APPL2/ARNT/ARPP19/ATP2B4/ATP5IF1/BEND3/CREB1/DAB2/DCAF5/DDB1/DGKQ/DNM1L/DYRK2/EIF6/ENO1/EP300/FABP5/FH/FLCN/FOXK1/FOXK2/FOXO1/GNAI1/GSK3A/H6PD/HMGB1/IGF2/INSR/IRS1/IRS2/KLHL25/KPNB1/LONP2/MACROH2A1/MAP2K1/MAPK1/MBTPS1/ME2/MTCL2/MTOR/NCOA2/NCOR1/NME1/NR1H2/NR3C1/PARK7/PARP1/PDK1/PDK2/PDK3/PDP1/PGK1/PHKA1/PIBF1/PLAA/PPP1CA/PPP2CA/PPP4R3A/PPP4R3B/PRKAA2/PRMT3/PROX1/PTGS2/QKI/RANBP2/RPTOR/SESN2/SIRT2/SIRT7/STAT3/TCF7L2/TIGAR/TP53/UBR4/UCHL1/USP7/VCP/ZNF692	86	BP
GO:0009952	anterior/posterior pattern specification	57/4396	224/17552	0.254464285714286	1.01600480956714	0.139353584151191	0.470389807317089	0.902985609677745	0.716102872710764	ALDH1A2/ALX1/ALX4/ATM/ATP6AP2/BHLHE40/BMI1/BPTF/COBL/CRKL/CTNNB1/EN1/EP300/FOXC1/FOXC2/GLI3/GRSF1/HEYL/HIPK1/HIPK2/HOXA10/HOXA4/HOXA5/HOXA6/HOXA7/HOXB4/HOXB5/HOXB6/HOXB7/HOXB9/HOXC13/HOXC4/HOXC5/HOXC6/HOXD4/KDM2B/KMT2A/LDB1/LEF1/MED12/MESP1/NCKAP1/NKD1/NOTCH1/NRARP/POFUT1/PRKDC/RING1/SRF/SSBP3/TAF10/TBX3/TDRKH/TP53/TULP3/WT1/YY1	57	BP
GO:0014074	response to purine-containing compound	38/4396	149/17552	0.25503355704698	1.01827775097557	0.12951547799087	0.480013560748629	0.902985609677745	0.716102872710764	ADSS2/AHR/AKAP9/APP/ASS1/ATF1/ATP5PO/CAD/CARM1/CPS1/CREB1/CRTC1/CRTC2/CRTC3/DGKQ/DNTT/EEF2K/ENPP1/EZR/FDX1/GSTM2/HDAC2/HSP90B1/ITPR2/KDM1A/PDE4D/PDXP/PER1/PKD2/PKLR/PNPT1/RELA/RYR1/SOD1/TOP1/WT1/XRN1/ZFP36L1	38	BP
GO:0050680	negative regulation of epithelial cell proliferation	35/4396	137/17552	0.255474452554745	1.02003812357618	0.136104798635402	0.478724540307302	0.902985609677745	0.716102872710764	AIMP1/AR/ATP5F1A/ATP5IF1/B4GALT1/CDC73/CDKN1B/CDKN2A/CDKN2B/DAB2/DAB2IP/EPPK1/FLCN/GATA3/GATA6/GDF5/IFT172/IFT74/KRT4/MAGED1/MEF2C/NF1/NFIB/NOTCH1/PDCD10/PHB2/PTCH1/RB1/ROBO1/RUNX3/SAV1/THBS1/TINF2/TRIM24/WDR13	35	BP
GO:0003206	cardiac chamber morphogenesis	34/4396	133/17552	0.255639097744361	1.02069550582553	0.138486710362894	0.478260950166131	0.902985609677745	0.716102872710764	ADPRHL1/CHD7/CITED2/DHRS3/DSP/FKBP1A/FOXC1/FOXC2/GATA3/GATA6/GRHL2/GSK3A/HEYL/MEF2C/MESP1/NKX2-5/NOTCH1/NOTCH2/NPY5R/NRP2/PKP2/PPP1R13L/PROX1/RBM15/ROBO1/SAV1/SMAD6/SMARCD3/SOS1/SRF/TBX3/TP53/TPM1/UBE4B	34	BP
GO:0010811	positive regulation of cell-substrate adhesion	34/4396	133/17552	0.255639097744361	1.02069550582553	0.138486710362894	0.478260950166131	0.902985609677745	0.716102872710764	BRAF/CALR/CDH13/CRK/CRKL/CUL5/DAB2/DISC1/DOCK1/DOCK5/EGFLAM/FBLN1/FERMT2/FLNA/GSK3A/HSD17B12/ILK/LEF1/MAP4K4/MYOC/NID1/P4HB/PLEKHA2/POLDIP2/PPM1F/PREX1/RAC1/RAC3/RRAS/TESK1/TRIOBP/TSC1/UNC13D/UTRN	34	BP
GO:1904950	negative regulation of establishment of protein localization	34/4396	133/17552	0.255639097744361	1.02069550582553	0.138486710362894	0.478260950166131	0.902985609677745	0.716102872710764	BAG3/BAG4/CABP1/CHP1/CYP51A1/DNAJA1/DRD4/ERLEC1/ERP29/FFAR2/FOXO1/GDI1/GNAI1/HADH/IDH2/IRS1/NF1/OS9/PARK7/PFKL/PPM1F/PSMD9/PTPN11/RAB11FIP1/RAB11FIP5/RANGAP1/RHBDF2/SNX12/SNX3/SUMO1/SYTL4/TERF1/UFM1/YWHAB	34	BP
GO:0022612	gland morphogenesis	33/4396	129/17552	0.255813953488372	1.02139365596631	0.140973095786379	0.477778288804387	0.902985609677745	0.716102872710764	AR/BAX/CAPN1/CDKN2A/CEBPB/CFLAR/CRIP1/CUL3/EGFR/EPHA2/ESR1/ESRP2/GDF7/GLI1/GLI3/ID4/LAMA1/LAMA5/MSN/NFIB/NHERF1/NOTCH1/NOTCH2/NR3C1/PHB2/PML/POLB/PROX1/PTCH1/SCRIB/SERPINB5/STAT5A/TBX3	33	BP
